id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3]
401019512,2018,8,regular,2018-10-20T19:30:00.000Z,false,true,0,3852,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,36,10,14,0,12,Houston,American Athletic,49,7,14,14,14
401012771,2018,8,regular,2018-10-20T20:00:00.000Z,false,true,0,3893,Reser Stadium,Oregon State,Pac-12,7,0,0,7,0,California,Pac-12,49,7,14,7,21
401012317,2018,8,regular,2018-10-20T20:00:00.000Z,false,false,0,3838,Faurot Field,Missouri,SEC,65,21,27,14,3,Memphis,American Athletic,33,3,17,7,6
401013443,2018,8,regular,2018-10-20T22:00:00.000Z,false,false,0,3601,Aggie Memorial Stadium,New Mexico State,,31,14,3,7,7,Georgia Southern,Sun Belt,48,10,14,21,3
401012315,2018,8,regular,2018-10-20T23:00:00.000Z,false,true,0,3958,Tiger Stadium,LSU,SEC,19,7,3,6,3,Mississippi State,SEC,3,3,0,0,0
401019509,2018,8,regular,2018-10-20T23:00:00.000Z,false,true,0,3699,Dowdy-Ficklen Stadium,East Carolina,American Athletic,10,3,0,7,0,UCF,American Athletic,37,0,20,3,14
401021678,2018,8,regular,2018-10-20T23:00:00.000Z,false,true,0,3817,Malone Stadium,Louisiana Monroe,Sun Belt,20,7,10,3,0,Texas State,Sun Belt,14,7,0,0,7
401015025,2018,8,regular,2018-10-20T23:00:00.000Z,false,true,0,3815,M. M. Roberts Stadium,Southern Mississippi,Conference USA,27,6,14,7,0,UT San Antonio,Conference USA,17,0,3,7,7
401019511,2018,8,regular,2018-10-20T23:00:00.000Z,false,true,0,3886,Raymond James Stadium,South Florida,American Athletic,38,0,7,17,14,Connecticut,American Athletic,30,7,0,7,16
401015024,2018,8,regular,2018-10-20T23:30:00.000Z,false,true,0,3796,Houchens Industries-L. T. Smith Stadium,Western Kentucky,Conference USA,34,7,17,3,7,Old Dominion,Conference USA,37,14,3,2,18
401015023,2018,8,regular,2018-10-20T23:30:00.000Z,false,true,0,3803,Legion Field,UAB,Conference USA,29,3,7,9,10,North Texas,Conference USA,21,7,14,0,0
401012773,2018,8,regular,2018-10-20T23:30:00.000Z,false,true,0,3820,Martin Stadium,Washington State,Pac-12,34,7,20,0,7,Oregon,Pac-12,20,0,0,17,3
401015020,2018,8,regular,2018-10-20T23:30:00.000Z,false,true,0,218,FIU Stadium,Florida International,Conference USA,36,0,16,10,10,Rice,Conference USA,17,7,3,7,0
401022541,2018,8,regular,2018-10-20T23:30:00.000Z,false,true,0,3971,University Stadium,New Mexico,Mountain West,7,0,7,0,0,Fresno State,Mountain West,38,10,14,14,0
401012314,2018,8,regular,2018-10-20T23:30:00.000Z,false,true,0,3683,Commonwealth Stadium,Kentucky,SEC,14,0,7,0,7,Vanderbilt,SEC,7,7,0,0,0
401013348,2018,8,regular,2018-10-20T23:30:00.000Z,false,true,0,3907,Ross-Ade Stadium,Purdue,Big Ten,49,7,7,7,28,Ohio State,Big Ten,20,0,3,3,14
401012770,2018,8,regular,2018-10-21T00:00:00.000Z,false,true,0,587,Rice-Eccles Stadium,Utah,Pac-12,41,7,13,14,7,USC,Pac-12,28,14,0,0,14
401022543,2018,8,regular,2018-10-21T02:30:00.000Z,false,true,0,3932,Qualcomm Stadium,San Diego State,Mountain West,16,0,10,3,3,San José State,Mountain West,13,6,0,7,0
401012769,2018,8,regular,2018-10-21T02:30:00.000Z,false,true,0,1056,Rose Bowl,UCLA,Pac-12,31,7,10,7,7,Arizona,Pac-12,30,0,7,13,10
401022542,2018,8,regular,2018-10-21T03:59:00.000Z,false,true,0,3610,Aloha Stadium,Hawai'i,Mountain West,22,14,0,0,8,Nevada,Mountain West,40,10,10,6,14
