id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3]
401021659,2018,3,regular,2018-09-12T18:00:00.000Z,false,false,0,3629,Barker-Lane Stadium,Campbell,,21,14,7,0,0,Coastal Carolina,Sun Belt,58,7,17,21,13
401014993,2018,3,regular,2018-09-13T20:00:00.000Z,false,true,0,4418,Jerry Richardson Stadium,Charlotte,Conference USA,28,7,6,8,7,Old Dominion,Conference USA,25,6,6,6,7
401013109,2018,3,regular,2018-09-13T21:30:00.000Z,false,true,0,3630,BB&T Field,Wake Forest,ACC,34,7,14,3,10,Boston College,ACC,41,7,14,7,13
401022519,2018,3,regular,2018-09-14T00:00:00.000Z,false,false,0,3905,Romney Stadium,Utah State,Mountain West,73,17,28,7,21,Tennessee Tech,,12,3,3,3,3
401019484,2018,3,regular,2018-09-14T23:00:00.000Z,false,false,0,3805,Liberty Bowl Memorial Stadium,Memphis,American Athletic,59,21,17,7,14,Georgia State,Sun Belt,22,3,7,6,6
401012281,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3853,Neyland Stadium,Tennessee,SEC,24,3,7,7,7,UTEP,Conference USA,0,0,0,0,0
401012276,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3683,Commonwealth Stadium,Kentucky,SEC,48,7,10,17,14,Murray State,,10,0,3,0,7
401012853,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3830,Memorial Stadium,Indiana,Big Ten,38,3,21,7,7,Ball State,Mid-American,10,3,0,7,0
401013337,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3834,Memorial Stadium,Nebraska,Big Ten,19,0,7,6,6,Troy,Sun Belt,24,3,14,0,7
401013111,2018,3,regular,2018-09-15T16:00:00.000Z,false,true,0,1964,Carrier Dome,Syracuse,ACC,30,3,3,14,10,Florida State,ACC,7,0,0,0,7
401013114,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3739,Glass Bowl,Toledo,Mid-American,24,0,7,14,3,Miami,ACC,49,7,14,14,14
401013039,2018,3,regular,2018-09-15T16:00:00.000Z,false,true,0,3772,Jack Trice Stadium,Iowa State,Big 12,27,0,10,14,3,Oklahoma,Big 12,37,10,14,10,3
401012275,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3917,Sanford Stadium,Georgia,SEC,49,14,28,7,0,Middle Tennessee,Conference USA,7,0,7,0,0
401019486,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3892,Rentschler Field,Connecticut,American Athletic,56,14,28,7,7,Rhode Island,,49,7,21,14,7
401013368,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3841,Blaik Field at Michie Stadium,Army,FBS Independents,28,7,14,0,7,Hawai'i,Mountain West,21,7,7,0,7
401012822,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3833,Memorial Stadium,Kansas,Big 12,55,17,14,10,14,Rutgers,Big Ten,14,7,7,0,0
401013350,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3632,Beaver Stadium,Penn State,Big Ten,63,21,7,21,14,Kent State,Mid-American,10,7,3,0,0
401013110,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3836,Memorial Stadium,Clemson,ACC,38,0,21,3,14,Georgia Southern,Sun Belt,7,0,0,0,7
401012874,2018,3,regular,2018-09-15T16:00:00.000Z,false,false,0,3665,Maryland Stadium,Maryland,Big Ten,14,0,7,0,7,Temple,American Athletic,35,7,14,7,7
401013112,2018,3,regular,2018-09-15T16:30:00.000Z,false,true,0,3752,Heinz Field,Pittsburgh,ACC,24,14,7,3,0,Georgia Tech,ACC,19,0,0,6,13
401014996,2018,3,regular,2018-09-15T17:00:00.000Z,false,false,0,3803,Legion Field,UAB,Conference USA,31,7,14,3,7,Tulane,American Athletic,24,0,7,14,3
401012747,2018,3,regular,2018-09-15T18:00:00.000Z,false,false,0,3940,Stanford Stadium,Stanford,Pac-12,30,0,17,10,3,UC Davis,,10,3,0,0,7
401012283,2018,3,regular,2018-09-15T18:30:00.000Z,false,false,0,3855,Notre Dame Stadium,Notre Dame,FBS Independents,22,10,6,0,6,Vanderbilt,SEC,17,0,3,7,7
401013028,2018,3,regular,2018-09-15T19:30:00.000Z,false,false,0,4727,McLane Stadium,Baylor,Big 12,27,0,0,13,14,Duke,ACC,40,7,16,7,10
401013356,2018,3,regular,2018-09-15T19:30:00.000Z,false,false,0,347,Camp Randall Stadium,Wisconsin,Big Ten,21,7,7,0,7,BYU,FBS Independents,24,7,7,7,3
401013491,2018,3,regular,2018-09-15T19:30:00.000Z,false,false,0,3646,Boone Pickens Stadium,Oklahoma State,Big 12,44,0,17,17,10,Boise State,Mountain West,21,0,7,14,0
401012806,2018,3,regular,2018-09-15T19:30:00.000Z,true,false,0,3933,Soldier Field,Illinois,Big Ten,19,10,6,3,0,South Florida,American Athletic,25,7,0,0,18
401019487,2018,3,regular,2018-09-15T19:30:00.000Z,false,false,0,3852,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,51,21,13,14,3,Lehigh,,21,7,0,0,14
401020679,2018,3,regular,2018-09-15T19:30:00.000Z,false,true,0,3764,Brigham Field at Huskie Stadium,Northern Illinois,Mid-American,24,0,14,7,3,Central Michigan,Mid-American,16,0,3,7,6
401012273,2018,3,regular,2018-09-15T19:30:00.000Z,false,true,0,3785,Jordan-Hare Stadium,Auburn,SEC,21,0,14,7,0,LSU,SEC,22,7,3,3,9
401013330,2018,3,regular,2018-09-15T19:30:00.000Z,false,false,0,3953,TCF Bank Stadium,Minnesota,Big Ten,26,7,12,7,0,Miami (OH),Mid-American,3,0,3,0,0
401012890,2018,3,regular,2018-09-15T19:30:00.000Z,false,false,0,3558,Michigan Stadium,Michigan,Big Ten,45,0,21,14,10,SMU,American Athletic,20,0,7,6,7
401020681,2018,3,regular,2018-09-15T20:00:00.000Z,false,false,0,3700,Doyt Perry Stadium,Bowling Green,Mid-American,42,0,28,6,8,Eastern Kentucky,,35,14,7,14,0
401022520,2018,3,regular,2018-09-15T20:00:00.000Z,false,false,0,3984,War Memorial Stadium,Wyoming,Mountain West,17,0,10,0,7,Wofford,,14,0,7,0,7
401012272,2018,3,regular,2018-09-15T20:00:00.000Z,false,false,0,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,SEC,17,0,10,0,7,North Texas,Conference USA,44,17,17,3,7
401013058,2018,3,regular,2018-09-15T20:00:00.000Z,false,false,0,3636,Bill Snyder Family Football Stadium,Kansas State,Big 12,41,10,17,14,0,UT San Antonio,Conference USA,17,7,0,0,10
401012274,2018,3,regular,2018-09-15T20:00:00.000Z,false,false,0,3634,Ben Hill Griffin Stadium,Florida,SEC,48,6,21,0,21,Colorado State,Mountain West,10,0,3,7,0
401013323,2018,3,regular,2018-09-15T20:15:00.000Z,false,false,0,3784,Jones AT&T Stadium,Texas Tech,Big 12,63,14,21,14,14,Houston,American Athletic,49,21,7,14,7
401013117,2018,3,regular,2018-09-15T20:30:00.000Z,false,false,0,3973,Vanderbilt Stadium,Virginia,ACC,45,21,17,0,7,Ohio,Mid-American,31,7,14,7,3
401012743,2018,3,regular,2018-09-15T21:00:00.000Z,false,false,0,3626,Autzen Stadium,Oregon,Pac-12,35,14,7,7,7,San José State,Mountain West,22,0,6,6,10
401012741,2018,3,regular,2018-09-15T21:00:00.000Z,false,false,0,3726,Folsom Field,Colorado,Pac-12,45,7,21,10,7,New Hampshire,,14,0,0,14,0
401014994,2018,3,regular,2018-09-15T22:00:00.000Z,false,false,0,3715,FAU Stadium,Florida Atlantic,Conference USA,49,29,7,7,6,Bethune-Cookman,,28,0,14,7,7
401020682,2018,3,regular,2018-09-15T22:00:00.000Z,false,true,0,3965,UB Stadium,Buffalo,Mid-American,35,14,14,0,7,Eastern Michigan,Mid-American,28,0,21,0,7
401012746,2018,3,regular,2018-09-15T22:00:00.000Z,false,false,0,3831,California Memorial Stadium,California,Pac-12,45,7,21,3,14,Idaho State,,23,0,3,6,14
401021660,2018,3,regular,2018-09-15T23:00:00.000Z,false,true,0,3797,Ladd Peebles Stadium,South Alabama,Sun Belt,41,3,13,7,18,Texas State,Sun Belt,31,17,7,7,0
401019485,2018,3,regular,2018-09-15T23:00:00.000Z,false,false,0,3854,Nippert Stadium,Cincinnati,American Athletic,63,28,14,14,7,Alabama A&M,,7,0,0,7,0
401012744,2018,3,regular,2018-09-15T23:00:00.000Z,false,false,0,3816,Mackay Stadium,Nevada,Mountain West,37,16,14,0,7,Oregon State,Pac-12,35,7,14,0,14
401020680,2018,3,regular,2018-09-15T23:00:00.000Z,false,false,0,3980,Waldo Stadium,Western Michigan,Mid-American,68,14,14,16,24,Delaware State,,0,0,0,0,0
