id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3]
401021679,2018,9,regular,2018-10-24T00:00:00.000Z,false,true,0,3797,Ladd Peebles Stadium,South Alabama,Sun Belt,17,7,10,0,0,Troy,Sun Belt,38,16,15,0,7
401020767,2018,9,regular,2018-10-25T23:00:00.000Z,false,true,0,3980,Waldo Stadium,Western Michigan,Mid-American,24,7,10,7,0,Toledo,Mid-American,51,14,9,21,7
401020766,2018,9,regular,2018-10-25T23:00:00.000Z,false,true,0,3876,Peden Stadium,Ohio,Mid-American,52,0,31,21,0,Ball State,Mid-American,14,7,0,0,7
401013033,2018,9,regular,2018-10-25T23:00:00.000Z,false,true,0,3842,Mountaineer Field at Milan Puskar Stadium,West Virginia,Big 12,58,10,31,10,7,Baylor,Big 12,14,0,0,14,0
401013153,2018,9,regular,2018-10-25T23:30:00.000Z,false,true,0,3799,Lane Stadium,Virginia Tech,ACC,28,14,7,0,7,Georgia Tech,ACC,49,14,14,14,7
401021680,2018,9,regular,2018-10-25T23:30:00.000Z,false,true,0,3608,Paulson Stadium,Georgia Southern,Sun Belt,34,0,17,10,7,Appalachian State,Sun Belt,14,0,7,0,7
401015028,2018,9,regular,2018-10-26T22:30:00.000Z,false,true,0,3715,FAU Stadium,Florida Atlantic,Conference USA,13,10,0,3,0,Louisiana Tech,Conference USA,21,0,14,0,7
401013154,2018,9,regular,2018-10-26T23:00:00.000Z,false,true,0,3615,Alumni Stadium,Boston College,ACC,27,14,3,10,0,Miami,ACC,14,7,7,0,0
401012858,2018,9,regular,2018-10-27T00:00:00.000Z,false,true,0,3953,TCF Bank Stadium,Minnesota,Big Ten,38,7,14,10,7,Indiana,Big Ten,31,6,3,0,22
401022546,2018,9,regular,2018-10-27T02:00:00.000Z,false,true,0,5388,Canvas Stadium,Colorado State,Mountain West,21,0,0,7,14,Wyoming,Mountain West,34,0,3,21,10
401012774,2018,9,regular,2018-10-27T02:30:00.000Z,false,true,0,1056,Rose Bowl,UCLA,Pac-12,10,7,0,3,0,Utah,Pac-12,41,3,14,21,3
401020768,2018,9,regular,2018-10-27T16:00:00.000Z,false,true,0,3768,Summa Field at InfoCision Stadium,Akron,Mid-American,17,7,10,0,0,Central Michigan,Mid-American,10,0,0,10,0
401012319,2018,9,regular,2018-10-27T16:00:00.000Z,false,true,0,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,SEC,31,7,7,3,14,Vanderbilt,SEC,45,7,14,3,21
