id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3]
401035253,2018,1,postseason,2018-12-15T18:30:00.000Z,true,false,0,4013,Camping World Stadium,Louisiana,Sun Belt,24,7,3,7,7,Tulane,American Athletic,41,21,3,3,14
401032054,2018,1,postseason,2018-12-15T19:00:00.000Z,true,false,0,3971,University Stadium,North Texas,Conference USA,13,7,0,6,0,Utah State,Mountain West,52,14,24,7,7
401032055,2018,1,postseason,2018-12-15T20:30:00.000Z,true,false,0,3914,Sam Boyd Stadium,Fresno State,Mountain West,31,10,7,7,7,Arizona State,Pac-12,20,7,10,3,0
401032056,2018,1,postseason,2018-12-15T22:30:00.000Z,true,false,0,3689,Cramton Bowl,Eastern Michigan,Mid-American,21,0,7,7,7,Georgia Southern,Sun Belt,23,7,10,0,6
401032057,2018,1,postseason,2018-12-16T02:00:00.000Z,true,false,0,3493,Mercedes-Benz Superdome,Appalachian State,Sun Belt,45,0,24,14,7,Middle Tennessee,Conference USA,13,3,3,7,0
401032058,2018,1,postseason,2018-12-19T00:00:00.000Z,true,false,,3715,FAU Stadium,Northern Illinois,Mid-American,13,7,3,3,0,UAB,Conference USA,37,10,17,10,0
401032059,2018,1,postseason,2018-12-20T01:00:00.000Z,true,false,0,1400,Toyota Stadium,Ohio,Mid-American,27,3,14,3,7,San Diego State,Mountain West,0,0,0,0,0
401032060,2018,1,postseason,2018-12-21T01:00:00.000Z,false,false,0,3886,Raymond James Stadium,South Florida,American Athletic,20,7,3,10,0,Marshall,Conference USA,38,21,7,3,7
401032061,2018,1,postseason,2018-12-21T17:30:00.000Z,true,false,0,4779,Thomas Robinson Stadium,Toledo,Mid-American,32,10,0,7,15,Florida International,Conference USA,35,0,14,7,14
401032062,2018,1,postseason,2018-12-21T21:00:00.000Z,true,false,0,3653,Albertsons Stadium,BYU,FBS Independents,49,7,0,28,14,Western Michigan,Mid-American,18,0,10,0,8
401032063,2018,1,postseason,2018-12-22T17:00:00.000Z,true,false,0,3803,Legion Field,Wake Forest,ACC,37,7,17,6,7,Memphis,American Athletic,34,14,14,0,6
401032064,2018,1,postseason,2018-12-22T20:30:00.000Z,true,false,0,3616,Amon G. Carter Stadium,Army,FBS Independents,70,14,28,14,14,Houston,American Athletic,14,0,7,0,7
401032065,2018,1,postseason,2018-12-23T00:00:00.000Z,true,false,0,3797,Ladd Peebles Stadium,Troy,Sun Belt,42,7,7,7,21,Buffalo,Mid-American,32,7,10,7,8
401032066,2018,1,postseason,2018-12-23T03:30:00.000Z,true,false,0,3610,Aloha Stadium,Louisiana Tech,Conference USA,31,3,0,21,7,Hawai'i,Mountain West,14,0,7,0,7
