id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3]
401020785,2018,13,regular,2018-11-21T00:00:00.000Z,false,true,0,3996,Yager Stadium,Miami (OH),Mid-American,42,7,14,14,7,Ball State,Mid-American,21,14,7,0,0
401020786,2018,13,regular,2018-11-21T00:00:00.000Z,false,true,0,3980,Waldo Stadium,Western Michigan,Mid-American,28,7,6,8,7,Northern Illinois,Mid-American,21,7,0,14,0
401022565,2018,13,regular,2018-11-22T20:30:00.000Z,false,true,0,3713,Falcon Stadium,Air Force,Mountain West,27,7,10,0,10,Colorado State,Mountain West,19,0,13,0,6
401012349,2018,13,regular,2018-11-23T00:30:00.000Z,false,true,0,3974,Vaught-Hemingway Stadium,Ole Miss,SEC,3,0,3,0,0,Mississippi State,SEC,35,7,14,7,7
401020789,2018,13,regular,2018-11-23T17:00:00.000Z,false,true,0,3739,Glass Bowl,Toledo,Mid-American,51,14,10,13,14,Central Michigan,Mid-American,13,0,0,0,13
401020788,2018,13,regular,2018-11-23T17:00:00.000Z,false,true,0,3700,Doyt Perry Stadium,Bowling Green,Mid-American,14,7,0,0,7,Buffalo,Mid-American,44,13,21,7,3
401012871,2018,13,regular,2018-11-23T17:00:00.000Z,false,true,0,3793,Kinnick Stadium,Iowa,Big Ten,31,7,14,7,3,Nebraska,Big Ten,28,7,6,0,15
401019537,2018,13,regular,2018-11-23T17:00:00.000Z,false,true,0,3805,Liberty Bowl Memorial Stadium,Memphis,American Athletic,52,3,14,14,21,Houston,American Athletic,31,7,14,10,0
401013056,2018,13,regular,2018-11-23T17:00:00.000Z,false,true,0,3833,Memorial Stadium,Kansas,Big 12,17,0,0,0,17,Texas,Big 12,24,7,0,14,3
401020787,2018,13,regular,2018-11-23T17:00:00.000Z,false,true,0,3876,Peden Stadium,Ohio,Mid-American,49,21,7,7,14,Akron,Mid-American,28,0,7,7,14
