id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3]
401013466,2018,5,regular,2018-09-28T00:00:00.000Z,false,true,0,3948,Hard Rock Stadium,Miami,ACC,47,14,19,0,14,North Carolina,ACC,10,10,0,0,0
401019496,2018,5,regular,2018-09-29T00:00:00.000Z,false,true,0,4729,Benson Field at Yulman Stadium,Tulane,American Athletic,40,14,3,7,16,Memphis,American Athletic,24,7,0,7,10
401012752,2018,5,regular,2018-09-29T01:00:00.000Z,false,true,0,3726,Folsom Field,Colorado,Pac-12,38,7,7,14,10,UCLA,Pac-12,16,10,3,3,0
401013325,2018,5,regular,2018-09-29T16:00:00.000Z,false,true,0,3784,Jones AT&T Stadium,Texas Tech,Big 12,34,7,3,7,17,West Virginia,Big 12,42,28,7,0,7
401012293,2018,5,regular,2018-09-29T16:00:00.000Z,true,true,0,3687,AT&T Stadium,Texas A&M,SEC,24,14,3,0,7,Arkansas,SEC,17,0,7,3,7
401012881,2018,5,regular,2018-09-29T16:00:00.000Z,false,false,0,3936,Spartan Stadium,Michigan State,Big Ten,31,0,17,14,0,Central Michigan,Mid-American,20,3,0,0,17
401012292,2018,5,regular,2018-09-29T16:00:00.000Z,false,false,0,3657,Bryant Denny Stadium,Alabama,SEC,56,28,21,7,0,Louisiana,Sun Belt,14,0,0,0,14
401013130,2018,5,regular,2018-09-29T16:00:00.000Z,false,false,0,3615,Alumni Stadium,Boston College,ACC,45,13,18,7,7,Temple,American Athletic,35,14,7,7,7
401013369,2018,5,regular,2018-09-29T16:00:00.000Z,false,false,0,3965,UB Stadium,Buffalo,Mid-American,13,7,0,6,0,Army,FBS Independents,42,7,14,7,14
401013134,2018,5,regular,2018-09-29T16:00:00.000Z,false,false,0,721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,ACC,63,14,14,21,14,Bowling Green,Mid-American,17,3,7,7,0
401013050,2018,5,regular,2018-09-29T16:00:00.000Z,false,true,0,3833,Memorial Stadium,Kansas,Big 12,28,0,7,7,14,Oklahoma State,Big 12,48,14,10,10,14
401012824,2018,5,regular,2018-09-29T16:00:00.000Z,false,true,0,3754,High Point Solutions Stadium,Rutgers,Big Ten,17,7,0,0,10,Indiana,Big Ten,24,7,17,0,0
401013131,2018,5,regular,2018-09-29T16:00:00.000Z,false,true,0,3836,Memorial Stadium,Clemson,ACC,27,7,0,6,14,Syracuse,ACC,23,6,10,0,7
401013135,2018,5,regular,2018-09-29T16:20:00.000Z,false,true,0,3670,Carter-Finley Stadium,NC State,ACC,35,3,17,7,8,Virginia,ACC,21,7,0,7,7
401013361,2018,5,regular,2018-09-29T18:00:00.000Z,false,false,0,3876,Peden Stadium,Ohio,Mid-American,58,14,21,17,6,UMass,FBS Independents,42,21,7,7,7
401021668,2018,5,regular,2018-09-29T18:00:00.000Z,false,true,0,4246,Georgia State Stadium,Georgia State,Sun Belt,46,14,16,6,10,Louisiana Monroe,Sun Belt,14,7,7,0,0
401020687,2018,5,regular,2018-09-29T19:00:00.000Z,false,true,0,3919,Scheumann Stadium,Ball State,Mid-American,52,21,14,7,10,Kent State,Mid-American,24,7,10,7,0
401013136,2018,5,regular,2018-09-29T19:30:00.000Z,false,false,0,3652,Bright House Networks Stadium,UCF,American Athletic,45,14,17,7,7,Pittsburgh,ACC,14,7,0,0,7
401013133,2018,5,regular,2018-09-29T19:30:00.000Z,false,true,0,3873,Papa John's Cardinal Stadium,Louisville,ACC,24,7,14,3,0,Florida State,ACC,28,7,0,7,14
401013030,2018,5,regular,2018-09-29T19:30:00.000Z,false,true,0,3835,Gaylord Family Oklahoma Memorial Stadium,Oklahoma,Big 12,66,14,14,21,17,Baylor,Big 12,33,6,3,14,10
401012295,2018,5,regular,2018-09-29T19:30:00.000Z,false,true,92746,3917,Sanford Stadium,Georgia,SEC,38,7,10,7,14,Tennessee,SEC,12,0,0,6,6
401021665,2018,5,regular,2018-09-29T19:30:00.000Z,false,true,0,3792,Kidd Brewer Stadium,Appalachian State,Sun Belt,52,21,21,3,7,South Alabama,Sun Belt,7,7,0,0,0
401015006,2018,5,regular,2018-09-29T19:30:00.000Z,false,false,0,3699,Dowdy-Ficklen Stadium,East Carolina,American Athletic,37,14,7,7,9,Old Dominion,Conference USA,35,14,6,7,8
401013137,2018,5,regular,2018-09-29T19:30:00.000Z,false,false,0,3630,BB&T Field,Wake Forest,ACC,56,21,21,14,0,Rice,Conference USA,24,0,3,14,7
401021667,2018,5,regular,2018-09-29T19:30:00.000Z,false,true,0,3975,Veterans Memorial Stadium,Troy,Sun Belt,45,21,3,14,7,Coastal Carolina,Sun Belt,21,0,14,7,0
401013338,2018,5,regular,2018-09-29T19:30:00.000Z,false,true,0,3834,Memorial Stadium,Nebraska,Big Ten,28,7,0,14,7,Purdue,Big Ten,42,10,10,15,7
