,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
133603,401019530,12,Memphis,American Athletic,SMU,American Athletic,14,5,40101953019,3,2,0,20,1,10,-20,Rush,"Darrell Henderson run for a loss of 5 yards to the SMU 20 MEMPHIS Penalty, Personal Foul (John Pop Williams) to the SMU 35",SMU,Memphis,False,True,5,14
135674,401021694,12,Coastal Carolina,Sun Belt,Georgia Southern,Sun Belt,10,13,40102169411,3,15,0,35,2,12,-62,Kickoff,"Massimo Biscardi kickoff , Wesley Kennedy III return for a loss of 62 yards to the GeoSo 29",Coastal Carolina,Georgia Southern,False,True,10,13
135683,401021694,12,Coastal Carolina,Sun Belt,Georgia Southern,Sun Belt,10,20,40102169412,3,12,0,34,3,1,-19,Fumble Recovery (Own),"TEAM run for a loss of 19 yards to the CCaro 15 TEAM fumbled, recovered by CCaro CJ Marable",Coastal Carolina,Georgia Southern,False,True,10,20
136614,401022561,12,Colorado State,Mountain West,Utah State,Mountain West,24,29,40102256124,4,0,0,66,3,5,-34,Penalty,"HILL, C. pass complete to WILLIAMS, P. for 34 yards to the USU0, clock 00:00, PENALTY CSU illegal touching (WILLIAMS, P.) 34 yards to the USU0, TOUCHDOWN, NO PLAY.",Colorado State,Utah State,False,True,24,29
137042,401022564,12,Hawai'i,Mountain West,UNLV,Mountain West,6,21,40102256414,3,13,0,51,2,11,-17,Fumble Recovery (Own),"Cole McDonald sacked by Gabe McCoy for a loss of 17 yards to the Hawa 34 Cole McDonald fumbled, recovered by Hawa , return for 0 yards",Hawai'i,UNLV,False,True,6,21
138868,401012797,13,Oregon State,Pac-12,Oregon,Pac-12,9,28,40101279716,3,6,42,49,1,10,-18,Fumble Recovery (Opponent),"Champ Flemings run for a loss of 18 yards to the OrgSt 23 Champ Flemings fumbled, recovered by Oregn Gus Cumberlander",Oregon State,Oregon,False,True,9,28
141374,401013047,13,Iowa State,Big 12,Kansas State,Big 12,14,14,4010130478,2,6,43,63,1,10,-23,Rush,TEAM run for a loss of 23 yards to the IowSt 40,Iowa State,Kansas State,False,True,14,14
148949,401056698,14,Texas,Big 12,Oklahoma,Big 12,14,13,4010566989,2,2,4,40,2,10,-16,Penalty,"TEXAS Penalty, Offensive Pass Interference (Collin Johnson) to the Texas 44",Oklahoma,Texas,True,True,13,14
151598,401032054,16,North Texas,Conference USA,Utah State,Mountain West,7,21,40103205413,2,11,56,25,1,10,-24,Fumble Recovery (Own),"TEAM run for a loss of 24 yards to the NoTex 1 TEAM fumbled, recovered by NoTex Kelvin Smith",North Texas,Utah State,True,False,7,21
151686,401032054,16,Utah State,Mountain West,North Texas,Conference USA,45,13,40103205428,3,5,1,64,1,10,-16,Penalty,"UTAH ST Penalty, Unsportsmanlike Conduct (Aaron Wade) to the UthSt 20",North Texas,Utah State,True,False,13,45
152952,401032062,16,BYU,FBS Independents,Western Michigan,Mid-American,7,0,4010320628,2,5,0,62,1,10,-22,Fumble Recovery (Opponent),"Tyler Allgeier run for a loss of 7 yards to the WMich 45, Tyler Allgeier fumbled, forced by Corvin Moment, recovered by WMich Stefan Claiborne at the BYU 40",BYU,Western Michigan,True,False,7,0
154280,401032070,16,Temple,American Athletic,Duke,ACC,27,42,40103207020,3,1,17,70,4,4,-20,Fumble Recovery (Own),"TEAM run for a loss of 20 yards to the Temp 10 TEAM fumbled, recovered by Temp Connor Bowler",Duke,Temple,True,False,42,27
