,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
67868,401013139,6,NC State,ACC,Boston College,ACC,28,23,40101313922,4,3,0,22,4,2,0,Blocked Punt Touchdown,"A.J. Cole III punt blocked, Travis Levy recovers for no gain for a TD (Colton Lichtenberg KICK)",NC State,Boston College,FALSE,TRUE,28,23
71190,401019503,6,East Carolina,American Athletic,Temple,American Athletic,0,28,4010195038,2,12,0,81,4,16,59,Punt Return Touchdown,"Jonn Young punt for 40 yds , Isaiah Wright returns for 59 yds for a TD, (Will Mobley KICK)",Temple,East Carolina,FALSE,TRUE,28,0
72521,401020812,6,Akron,Mid-American,Miami (OH),Mid-American,17,14,40102081214,3,11,0,16,4,6,46,Punt Return Touchdown,"Nick Gasser punt for 40 yds , ALLEN, Josh return 2 yards to the MIAMI46, fumble forced by JONES, Devon, fumble by ALLEN, Josh recovered by AKRON GILBERT, U. at MIAMI46, GILBERT, U. for 46 yards for a TD (Nick Gasser KICK)",Akron,Miami (OH),FALSE,TRUE,17,14
72582,401020812,6,Miami (OH),Mid-American,Akron,Mid-American,41,17,40102081227,4,6,0,1,1,1,1,Fumble Recovery Touchdown (Own),"Davion Johnson run for a loss of 1 yard Davion Johnson fumbled, forced by Josh Ward, recovered by MiaOh Jordan Rigg for a TD (Samuel Sloman KICK)",Akron,Miami (OH),FALSE,TRUE,17,41
76813,401013043,7,Iowa State,Big 12,West Virginia,Big 12,20,14,40101304312,2,2,58,78,4,9,72,Blocked Field Goal Touchdown,Connor Assalley 40 yd FG BLOCKED blocked by Kenny Bigelow Jr.  Derrek Pitts Jr. return for 72 yds for a TD (Evan Staley KICK),Iowa State,West Virginia,FALSE,TRUE,20,14
77353,401013144,7,Louisville,ACC,Boston College,ACC,20,21,40101314415,2,3,42,80,4,9,0,Blocked Punt Touchdown,TEAM punt blocked by blocked by  Travis Levy return for no gain for a TD (Colton Lichtenberg KICK),Boston College,Louisville,FALSE,TRUE,21,20
78581,401013442,7,Louisiana,Sun Belt,New Mexico State,,21,14,4010134426,1,2,55,35,1,0,87,Kickoff Return Touchdown,"Kyle Pfau kickoff for 52 yds , Jason Huntley return for 87 yds for a TD (Dylan Brown KICK)",Louisiana,New Mexico State,FALSE,FALSE,21,14
78586,401013442,7,Louisiana,Sun Belt,New Mexico State,,28,14,4010134427,1,2,4,21,2,14,79,Passing Touchdown,Levi Lewis pass complete to Jarrod Jackson for no gain lat. to Earnest Patterson for 79 yds for a TD (Kyle Pfau KICK),Louisiana,New Mexico State,FALSE,FALSE,28,14
79864,401015018,7,Rice,Conference USA,UAB,Conference USA,0,14,4010150184,1,8,57,18,4,9,0,Blocked Punt Touchdown,Jack Fox punt blocked by Chase Biles blocked by Chase Biles  Chase Biles return for no gain for a TD (Nick Vogel KICK),Rice,UAB,FALSE,TRUE,0,14
81880,401020760,7,Western Michigan,Mid-American,Bowling Green,Mid-American,28,28,40102076021,3,0,26,60,1,17,16,Fumble Recovery Touchdown (Own),"Jon Wassink pass complete to Keishawn Watson for 36 yds for a TD Keishawn Watson fumbled, forced by Jerry McBride III, recovered by WMich Keishawn Watson  , return for 16 yds (Gavin Peddie KICK)",Bowling Green,Western Michigan,FALSE,TRUE,28,28
82724,401022533,7,Air Force,Mountain West,San Diego State,Mountain West,9,14,40102253314,2,0,8,64,4,1,19,Blocked Punt Touchdown,Charlie Scott punt blocked by Kaelin Himphill blocked by Kaelin Himphill  Trenton Thompson return for 19 yds for a TD (John Baron II KICK),San Diego State,Air Force,FALSE,TRUE,14,9
83212,401022536,7,UNLV,Mountain West,Utah State,Mountain West,7,28,40102253610,2,11,35,59,4,17,16,Blocked Punt Touchdown,Hayes Hicken punt blocked by Deven Thompkins blocked by Deven Thompkins  Baron Gajkowski return for 16 yds for a TD (Dominik Eberle KICK),Utah State,UNLV,FALSE,TRUE,28,7
84146,401012316,8,Auburn,SEC,Ole Miss,SEC,24,9,40101231615,3,6,0,55,3,3,55,Fumble Recovery Touchdown (Own),"JaTarvious Whitlow run for 54 yds JaTarvious Whitlow fumbled, forced by Jalen Julius, recovered by Aub Anthony Schwartz for a TD, (Anders Carlson KICK)",Ole Miss,Auburn,FALSE,TRUE,9,24
