,data,index,column,old,new
228,data,43227,distance,0,1
229,data,43259,distance,0,2
230,data,43667,distance,0,7
231,data,43692,distance,0,7
232,data,43761,distance,0,4
233,data,43793,distance,0,1
234,data,43798,distance,0,15
235,data,44203,distance,0,2
236,data,44217,distance,0,2
237,data,44230,distance,0,5
238,data,44237,distance,0,6
239,data,44339,distance,0,1
240,data,44346,distance,0,6
241,data,45631,distance,0,1
242,data,45644,distance,0,1
243,data,45659,distance,0,8
244,data,45670,distance,0,1
245,data,45697,distance,0,21
246,data,45916,distance,0,5
247,data,45917,distance,0,3
248,data,45922,distance,0,4
249,data,45923,distance,0,4
250,data,45925,distance,0,11
251,data,45926,distance,0,6
252,data,45927,distance,0,6
253,data,45977,distance,0,1
254,data,46025,distance,0,20
255,data,47502,distance,0,2
256,data,47522,distance,0,7
257,data,47977,distance,0,4
258,data,47990,distance,0,2
259,data,47995,distance,0,2
260,data,48041,distance,0,7
261,data,48057,distance,0,1
262,data,48062,distance,0,2
263,data,48085,distance,0,1
264,data,48367,distance,0,2
265,data,48901,distance,0,4
266,data,48932,distance,0,4
267,data,48963,distance,0,9
268,data,48979,distance,0,3
269,data,48989,distance,0,1
270,data,50890,distance,0,9
271,data,50911,distance,0,1
272,data,51004,distance,0,2
273,data,51005,distance,0,3
274,data,51063,distance,0,4
275,data,51137,distance,0,2
276,data,51205,distance,0,7
277,data,52266,distance,0,3
278,data,52284,distance,0,1
279,data,52534,distance,0,1
280,data,52563,distance,0,2
281,data,52595,distance,0,4
282,data,52644,distance,0,2
283,data,52663,distance,0,4
284,data,52734,distance,0,6
285,data,52765,distance,0,1
286,data,52786,distance,0,8
287,data,52793,distance,0,4
288,data,52837,distance,0,1
289,data,53870,distance,0,2
290,data,53871,distance,0,1
291,data,54168,distance,0,4
292,data,54190,distance,0,3
293,data,54229,distance,0,1
294,data,54269,distance,0,1
295,data,54275,distance,0,5
296,data,54862,distance,0,1
297,data,55028,distance,0,1
298,data,56446,distance,0,9
299,data,56551,distance,0,2
300,data,56564,distance,0,1
301,data,56586,distance,0,1
302,data,56620,distance,0,4
303,data,57691,distance,0,6
304,data,57723,distance,0,1
305,data,57735,distance,0,10
306,data,59183,distance,0,4
307,data,59224,distance,0,2
308,data,59237,distance,0,1
309,data,59846,distance,0,5
310,data,59851,distance,0,4
311,data,59899,distance,0,5
312,data,59974,distance,0,1
313,data,60009,distance,0,2
314,data,60044,distance,0,4
315,data,60110,distance,0,4
316,data,60123,distance,0,2
317,data,61903,distance,0,2
318,data,61924,distance,0,8
319,data,62059,distance,0,1
320,data,63523,distance,0,2
321,data,63553,distance,0,7
322,data,63597,distance,0,3
323,data,63631,distance,0,3
324,data,63639,distance,0,4
325,data,63652,distance,0,4
326,data,63678,distance,0,1
327,data,63751,distance,0,1
328,data,63763,distance,0,8
329,data,63787,distance,0,3
330,data,63796,distance,0,2
331,data,63825,distance,0,1
332,data,63850,distance,0,9
333,data,63896,distance,0,4
334,data,63938,distance,0,1
335,data,63971,distance,0,3
336,data,64036,distance,0,1
337,data,64046,distance,0,2
338,data,64168,distance,0,10
339,data,64234,distance,0,11
340,data,64258,distance,0,2
341,data,64517,distance,0,1
342,data,64568,distance,0,6
343,data,64898,distance,0,3
344,data,65234,distance,0,9
345,data,65247,distance,0,1
346,data,65263,distance,0,1
347,data,65312,distance,0,9
348,data,65338,distance,0,2
349,data,65538,distance,0,6
350,data,65560,distance,0,6
351,data,65576,distance,0,8
352,data,65610,distance,0,3
353,data,65624,distance,0,15
354,data,65639,distance,0,1
355,data,65651,distance,0,1
356,data,65669,distance,0,3
357,data,65710,distance,0,4
358,data,66519,distance,0,1
359,data,66591,distance,0,1
360,data,66601,distance,0,7
361,data,66615,distance,0,5
362,data,67075,distance,0,12
363,data,67104,distance,0,6
364,data,67140,distance,0,4
365,data,67371,distance,0,4
366,data,67380,distance,0,2
367,data,67444,distance,0,5
368,data,67460,distance,0,5
369,data,67475,distance,0,2
370,data,67530,distance,0,7
371,data,67567,distance,0,1
372,data,67582,distance,0,2
373,data,67614,distance,0,5
374,data,67625,distance,0,2
375,data,67648,distance,0,1
376,data,67655,distance,0,1
377,data,67672,distance,0,5
378,data,67691,distance,0,2
379,data,68195,distance,0,3
380,data,68277,distance,0,1
381,data,68289,distance,0,2
382,data,68383,distance,0,5
383,data,68429,distance,0,7
384,data,68463,distance,0,3
385,data,68479,distance,0,1
386,data,68548,distance,0,5
387,data,68567,distance,0,3
388,data,68628,distance,0,5
389,data,68926,distance,0,8
390,data,69008,distance,0,7
391,data,69017,distance,0,8
392,data,69036,distance,0,11
393,data,69274,distance,0,5
394,data,69320,distance,0,3
395,data,69338,distance,0,2
396,data,69361,distance,0,5
397,data,69376,distance,0,5
398,data,70212,distance,0,2
399,data,70225,distance,0,6
400,data,70246,distance,0,5
401,data,70278,distance,0,6
402,data,70295,distance,0,4
403,data,70302,distance,0,9
404,data,70323,distance,0,2
405,data,70354,distance,0,18
406,data,71185,distance,0,1
407,data,71302,distance,0,1
408,data,71736,distance,0,5
