,data,index,column,old,new
0,data,34055,distance,65,0
1,data,34055,down,1,0
2,data,112815,down,1,0
3,data,112815,distance,80,0
4,data,121241,down,1,0
5,data,121241,distance,65,0
6,data,135501,down,1,0
7,data,135501,distance,65,0
8,data,154300,down,3,0
9,data,154300,distance,58,0
10,data,156659,down,1,0
11,data,156659,distance,90,0
