,data,index,column,old,new
0,data,54756,play_type,Uncategorized,Fumble Recovery (Own)
1,data,62954,play_type,Uncategorized,Interception
2,data,62954,play_text,Victor Heyward return for 10 yds to the GeoSt 40,"Evans, Caleb pass intercepted by Heyward, Victor at the GSU30 (Middleton, C.), Heyward, Victor return 10 yards to the GSU40 (Spiller, Sloan)."
3,data,85110,play_type,Uncategorized,Fumble Recovery (Own)
4,data,127565,play_type,Uncategorized,Fumble Recovery (Own)
5,data,136941,play_type,Uncategorized,Fumble Recovery (Own)
6,data,138817,play_type,Uncategorized,Interception
7,data,138817,play_text,"Nick Pickett return for no gain OREGON Penalty, unsportsmanlike conduct (Nick Pickett)","Colletto, Jack pass intercepted by Pickett, Nick at the ORE0 (Dye, Troy), Pickett, Nick return 0 yards to the ORE0, touchback, PENALTY ORE unsportsmanlike conduct (Pickett, Nick) 10 yards to the ORE10, 1st and 10, ORE ball on ORE10."
