,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
138474,401012356,13,Texas A&M,SEC,LSU,SEC,24,24,40101235617,4,10,12,60,1,10,58,Fumble Recovery (Opponent),"Kellen Mond pass complete to Trayveon Williams for a loss of 2 yards for a TD Trayveon Williams fumbled, recovered by LSU Michael Divinity Jr.  , return for 58 yds (Cole Tracy KICK)",Texas A&M,LSU,False,True,24,24
138540,401012356,13,LSU,SEC,Texas A&M,SEC,41,41,40101235626,6,0,0,3,4,2,3,Rush,Nick Brossette run for 3 yds for a TD Nick Brossette run for 3 yds for a TD (Cole Tracy KICK),Texas A&M,LSU,False,True,41,41
138544,401012356,13,Texas A&M,SEC,LSU,SEC,49,49,40101235628,7,0,0,75,2,10,25,Pass Reception,Kellen Mond pass complete to Kendrick Rogers for 25 yds for a TD (Kellen Mond pass  to Kendrick Rogers for Two-Point Conversion),Texas A&M,LSU,False,True,49,49
139602,401012801,13,Stanford,Pac-12,UCLA,Pac-12,41,36,40101280123,3,2,9,80,1,0,93,Kickoff,"Jake Bailey kickoff for 73 yds , Darnay Holmes return for 93 yds for a TD (JJ Molson KICK)",UCLA,Stanford,False,True,36,41
142130,401013183,13,Virginia,ACC,Virginia Tech,ACC,0,14,40101318310,2,1,40,77,4,12,0,Blocked Punt,"TEAM punt blocked by Tre Turner, recovered by Jovonn Quillen for a TD, (Brian Johnson KICK)",Virginia Tech,Virginia,False,True,14,0
142227,401013183,13,Virginia Tech,ACC,Virginia,ACC,31,31,40101318326,4,1,51,81,1,10,0,Fumble Recovery (Own),"Steven Peoples run for 18 yds Steven Peoples fumbled, recovered by VTech Hezekiah Grimsley for a TD VIRGINIA Penalty, Defensive Offside ( Yards) to the Virg 3 for a 1ST down (Brian Johnson KICK)",Virginia Tech,Virginia,False,True,31,31
142702,401013186,13,Pittsburgh,ACC,Miami,ACC,0,10,40101318610,2,9,8,85,4,4,65,Punt,"Kirk Christodoulou punt for 50 yds , DeeJay Dallas returns for 65 yds for a TD (Bubba Baxa KICK)",Miami,Pittsburgh,False,True,10,0
143069,401013335,13,Wisconsin,Big Ten,Minnesota,Big Ten,0,17,4010133358,2,1,5,27,4,8,69,Punt,"Connor Allen punt for 42 yds , Demetrius Douglas returns for 69 yds for a TD (Emmit Carpenter KICK)",Wisconsin,Minnesota,False,True,0,17
143197,401013447,13,Liberty,,New Mexico State,,17,7,4010134478,1,5,52,20,1,0,85,Kickoff,"Alex Probert kickoff for 65 yds , Jason Huntley return for 85 yds for a TD (Dylan Brown KICK)",Liberty,New Mexico State,False,False,17,7
143487,401015051,13,Florida International,Conference USA,Marshall,Conference USA,10,21,40101505118,3,1,23,11,4,4,0,Blocked Punt,Stone Wilson punt blocked by Brandon Drayton blocked by Brandon Drayton  Brandon Drayton return for no gain for a TD (Justin Rohrwasser KICK),Florida International,Marshall,False,True,10,21
