offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Missouri,SEC,401012307,4010123071,true,1,19,15,1,100,14,37,23,2,81,TD
Missouri,SEC,Alabama,SEC,401012307,4010123072,false,1,75,14,1,68,14,,37,2,7,INT
Alabama,SEC,Missouri,SEC,401012307,4010123073,true,1,86,14,1,88,13,7,53,4,2,FG
Missouri,SEC,Alabama,SEC,401012307,4010123074,false,1,81,13,1,58,10,33,34,6,23,PUNT
Alabama,SEC,Missouri,SEC,401012307,4010123075,false,1,11,10,1,62,8,29,4,7,37,FUMBLE
Missouri,SEC,Alabama,SEC,401012307,4010123076,true,1,48,8,1,25,5,31,58,7,23,FG
Alabama,SEC,Missouri,SEC,401012307,4010123077,true,1,23,5,1,90,2,13,18,9,67,FG
Missouri,SEC,Alabama,SEC,401012307,4010123078,true,1,73,2,1,0,,2,11,6,73,TD
Alabama,SEC,Missouri,SEC,401012307,4010123079,true,1,25,,2,100,11,36,26,9,75,TD
Ole Miss,SEC,Arkansas,SEC,401012308,4010123081,true,1,75,15,1,19,12,49,11,6,56,FG
Arkansas,SEC,Ole Miss,SEC,401012308,4010123082,true,1,25,12,1,75,7,41,8,11,50,FG
Ole Miss,SEC,Arkansas,SEC,401012308,4010123083,false,1,75,7,1,57,6,25,16,4,18,PUNT
Arkansas,SEC,Ole Miss,SEC,401012308,4010123084,true,1,22,6,1,100,3,24,1,7,78,TD
Ole Miss,SEC,Arkansas,SEC,401012308,4010123085,false,1,75,3,1,35,1,35,49,5,40,INT
Arkansas,SEC,Ole Miss,SEC,401012308,4010123086,true,1,20,1,1,100,,31,4,3,80,TD
Ole Miss,SEC,Arkansas,SEC,401012308,4010123087,true,1,75,,2,0,12,23,8,9,75,TD
Arkansas,SEC,Ole Miss,SEC,401012308,4010123088,true,2,25,12,2,100,10,50,33,5,75,TD
Ole Miss,SEC,Arkansas,SEC,401012308,4010123089,false,2,60,10,2,27,7,3,47,9,33,MISSED FG
Auburn,SEC,Tennessee,SEC,401012309,4010123091,true,1,25,15,1,100,9,44,16,14,75,TD
Tennessee,SEC,Auburn,SEC,401012309,4010123092,true,1,75,9,1,25,5,24,20,8,50,FG
Auburn,SEC,Tennessee,SEC,401012309,4010123093,true,1,25,5,1,98,2,20,4,10,73,FG
Tennessee,SEC,Auburn,SEC,401012309,4010123094,false,1,75,2,2,31,13,33,47,10,44,MISSED FG
Auburn,SEC,Tennessee,SEC,401012309,4010123095,false,2,54,13,2,60,13,5,28,2,6,INT
Tennessee,SEC,Auburn,SEC,401012309,4010123096,true,2,59,13,2,0,10,44,21,5,59,TD
Auburn,SEC,Tennessee,SEC,401012309,4010123097,false,2,11,10,2,64,6,34,10,8,60,INT
Tennessee,SEC,Auburn,SEC,401012309,4010123098,false,2,37,6,2,54,4,9,25,3,-17,PUNT
Auburn,SEC,Tennessee,SEC,401012309,4010123099,true,2,21,4,2,100,3,26,43,2,79,TD
LSU,SEC,Georgia,SEC,401012310,4010123101,false,1,25,15,1,24,13,3,57,3,-1,PUNT
Georgia,SEC,LSU,SEC,401012310,4010123102,false,1,72,13,1,53,11,49,14,5,19,PUNT
LSU,SEC,Georgia,SEC,401012310,4010123103,true,1,20,11,1,85,9,32,17,9,65,FG
Georgia,SEC,LSU,SEC,401012310,4010123104,false,1,75,9,1,14,3,28,4,12,59,FUMBLE
LSU,SEC,Georgia,SEC,401012310,4010123105,true,1,16,3,2,100,13,34,54,12,84,TD
Georgia,SEC,LSU,SEC,401012310,4010123106,false,2,75,13,2,74,12,40,54,3,1,PUNT
LSU,SEC,Georgia,SEC,401012310,4010123107,true,2,30,12,2,83,11,22,18,5,53,FG
Georgia,SEC,LSU,SEC,401012310,4010123108,false,2,75,11,2,69,9,52,30,3,6,PUNT
LSU,SEC,Georgia,SEC,401012310,4010123109,true,2,29,9,2,79,5,9,43,15,50,FG
South Carolina,SEC,Texas A&M,SEC,401012311,4010123111,false,1,25,15,1,53,13,32,28,5,28,PUNT
Texas A&M,SEC,South Carolina,SEC,401012311,4010123112,false,1,83,13,1,67,10,39,53,5,16,PUNT
South Carolina,SEC,Texas A&M,SEC,401012311,4010123113,false,1,20,10,1,25,9,42,57,3,5,PUNT
Texas A&M,SEC,South Carolina,SEC,401012311,4010123114,false,1,75,9,1,75,7,38,4,5,0,PUNT
South Carolina,SEC,Texas A&M,SEC,401012311,4010123115,false,1,43,7,1,95,5,9,29,7,52,INT
Texas A&M,SEC,South Carolina,SEC,401012311,4010123116,true,1,80,5,1,35,,31,38,10,45,FG
South Carolina,SEC,Texas A&M,SEC,401012311,4010123117,false,1,0,,2,34,14,11,20,3,9,PUNT
Texas A&M,SEC,South Carolina,SEC,401012311,4010123118,false,2,88,14,2,79,11,47,24,3,9,PUNT
Vanderbilt,SEC,Florida,SEC,401012312,4010123121,false,1,15,15,1,19,13,17,43,3,4,PUNT
Florida,SEC,Vanderbilt,SEC,401012312,4010123122,false,1,65,13,1,5,10,5,12,9,60,INT
Vanderbilt,SEC,Florida,SEC,401012312,4010123123,true,1,2,10,1,100,6,23,42,9,98,TD
Florida,SEC,Vanderbilt,SEC,401012312,4010123124,true,1,75,6,2,5,14,14,9,16,70,FG
Vanderbilt,SEC,Florida,SEC,401012312,4010123125,true,2,25,14,2,100,13,59,15,1,75,TD
Florida,SEC,Vanderbilt,SEC,401012312,4010123126,false,2,75,13,2,61,12,35,24,5,14,PUNT
Vanderbilt,SEC,Florida,SEC,401012312,4010123127,false,2,8,12,2,21,9,48,47,5,13,PUNT
Florida,SEC,Vanderbilt,SEC,401012312,4010123128,false,2,38,9,2,34,7,29,19,5,-31,FUMBLE
Vanderbilt,SEC,Florida,SEC,401012312,4010123129,true,2,72,7,2,100,6,42,47,4,28,TD
Utah,Pac-12,Arizona,Pac-12,401012764,4010127641,true,1,25,15,1,100,7,47,13,15,75,TD
Arizona,Pac-12,Utah,Pac-12,401012764,4010127642,false,1,75,7,1,68,6,10,37,5,7,PUNT
Utah,Pac-12,Arizona,Pac-12,401012764,4010127643,true,1,31,6,1,100,2,47,23,8,69,TD
Arizona,Pac-12,Utah,Pac-12,401012764,4010127644,false,1,71,2,1,72,1,9,38,3,-1,PUNT
Utah,Pac-12,Arizona,Pac-12,401012764,4010127645,false,1,31,1,2,37,14,35,24,3,6,DOWNS
Arizona,Pac-12,Utah,Pac-12,401012764,4010127646,false,2,86,14,2,70,11,46,49,6,16,PUNT
Utah,Pac-12,Arizona,Pac-12,401012764,4010127647,true,2,17,11,2,100,10,39,7,3,83,TD
Arizona,Pac-12,Utah,Pac-12,401012764,4010127648,false,2,80,10,2,42,6,30,9,9,38,DOWNS
Utah,Pac-12,Arizona,Pac-12,401012764,4010127649,true,2,42,6,2,100,1,56,34,9,58,TD
USC,Pac-12,Colorado,Pac-12,401012765,4010127651,false,1,25,15,1,25,14,54,6,1,0,INT
Colorado,Pac-12,USC,Pac-12,401012765,4010127652,false,1,40,14,1,52,12,54,,3,-12,PUNT
USC,Pac-12,Colorado,Pac-12,401012765,4010127653,false,1,5,12,1,14,11,17,37,3,9,PUNT
Colorado,Pac-12,USC,Pac-12,401012765,4010127654,false,1,60,11,1,57,9,57,20,3,3,PUNT
USC,Pac-12,Colorado,Pac-12,401012765,4010127655,false,1,19,9,1,54,7,8,49,7,35,PUNT
Colorado,Pac-12,USC,Pac-12,401012765,4010127656,false,1,85,7,1,53,3,22,46,9,32,PUNT
USC,Pac-12,Colorado,Pac-12,401012765,4010127657,false,1,17,3,1,30,2,33,49,3,13,INT
Colorado,Pac-12,USC,Pac-12,401012765,4010127658,false,1,64,2,1,66,,39,54,3,-2,PUNT
USC,Pac-12,Colorado,Pac-12,401012765,4010127659,false,1,30,,2,45,12,57,42,8,15,PUNT
Washington,Pac-12,Oregon,Pac-12,401012766,4010127661,false,1,75,15,1,71,14,9,51,2,4,INT
Oregon,Pac-12,Washington,Pac-12,401012766,4010127662,true,1,63,14,1,79,12,29,40,7,16,FG
Washington,Pac-12,Oregon,Pac-12,401012766,4010127663,true,1,82,12,1,23,8,5,24,11,59,FG
Washington,Pac-12,Oregon,Pac-12,401012766,4010127664,true,1,65,8,1,0,6,6,59,5,41,TD
Oregon,Pac-12,Washington,Pac-12,401012766,4010127665,true,1,59,6,1,100,1,52,14,10,41,TD
Washington,Pac-12,Oregon,Pac-12,401012766,4010127666,false,1,75,1,2,52,13,41,11,6,23,PUNT
Oregon,Pac-12,Washington,Pac-12,401012766,4010127667,false,2,25,13,2,40,11,37,4,4,15,PUNT
Washington,Pac-12,Oregon,Pac-12,401012766,4010127668,false,2,92,11,2,70,9,38,59,5,22,PUNT
Oregon,Pac-12,Washington,Pac-12,401012766,4010127669,false,2,30,9,2,45,7,56,42,5,15,PUNT
UCLA,Pac-12,California,Pac-12,401012767,4010127671,false,1,75,15,1,71,13,1,59,4,4,PUNT
California,Pac-12,UCLA,Pac-12,401012767,4010127672,false,1,40,13,1,45,12,11,50,3,5,PUNT
UCLA,Pac-12,California,Pac-12,401012767,4010127673,false,1,85,12,1,68,9,27,44,5,17,PUNT
California,Pac-12,UCLA,Pac-12,401012767,4010127674,false,1,28,9,1,59,6,36,51,6,31,FUMBLE
UCLA,Pac-12,California,Pac-12,401012767,4010127675,true,1,59,6,1,0,2,9,27,9,59,TD
California,Pac-12,UCLA,Pac-12,401012767,4010127676,false,1,19,2,1,35,,12,57,4,16,PUNT
UCLA,Pac-12,California,Pac-12,401012767,4010127677,true,1,87,,2,8,10,32,40,10,79,FG
California,Pac-12,UCLA,Pac-12,401012767,4010127678,false,2,25,10,2,36,8,24,8,5,11,PUNT
UCLA,Pac-12,California,Pac-12,401012767,4010127679,true,2,38,8,2,12,5,7,17,9,26,FG
