offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.seconds,plays,yards,drive_result
Utah State,Mountain West,North Texas,Conference USA,401032054,4010320541,true,1,75,15,1,0,14,20,40,3,75,TD
North Texas,Conference USA,Utah State,Mountain West,401032054,4010320542,false,1,25,14,1,29,13,17,3,3,4,PUNT
Utah State,Mountain West,North Texas,Conference USA,401032054,4010320543,false,1,50,13,1,44,12,4,13,3,6,PUNT
North Texas,Conference USA,Utah State,Mountain West,401032054,4010320544,false,1,7,12,1,29,9,23,41,5,22,PUNT
Utah State,Mountain West,North Texas,Conference USA,401032054,4010320545,false,1,76,9,1,66,7,36,47,4,10,PUNT
North Texas,Conference USA,Utah State,Mountain West,401032054,4010320546,true,1,22,7,1,100,2,52,44,10,78,TD
Utah State,Mountain West,North Texas,Conference USA,401032054,4010320547,true,1,41,2,1,0,1,59,53,5,41,TD
North Texas,Conference USA,Utah State,Mountain West,401032054,4010320548,false,1,25,1,1,22,,47,12,3,-3,INT
Utah State,Mountain West,North Texas,Conference USA,401032054,4010320549,false,1,6,,1,6,,42,5,1,0,INT
Fresno State,Mountain West,Arizona State,Pac-12,401032055,4010320551,false,1,25,15,1,59,11,37,23,7,34,PUNT
Arizona State,Pac-12,Fresno State,Mountain West,401032055,4010320552,false,1,80,11,1,79,9,45,52,3,1,PUNT
Fresno State,Mountain West,Arizona State,Pac-12,401032055,4010320553,true,1,34,9,1,79,7,2,43,7,45,FG
Arizona State,Pac-12,Fresno State,Mountain West,401032055,4010320554,true,1,63,7,1,34,4,58,4,5,29,INT TD
Arizona State,Pac-12,Fresno State,Mountain West,401032055,4010320555,true,1,65,4,1,0,1,25,33,9,65,TD
Fresno State,Mountain West,Arizona State,Pac-12,401032055,4010320556,false,1,23,1,1,26,,11,14,3,3,PUNT
Arizona State,Pac-12,Fresno State,Mountain West,401032055,4010320557,true,1,58,,2,0,12,43,28,8,58,TD
Fresno State,Mountain West,Arizona State,Pac-12,401032055,4010320558,true,2,25,12,2,100,8,3,40,9,75,TD
Arizona State,Pac-12,Fresno State,Mountain West,401032055,4010320559,true,2,74,8,2,2,,51,12,17,72,FG
Georgia Southern,Sun Belt,Eastern Michigan,Mid-American,401032056,4010320561,false,1,75,15,1,68,12,46,14,3,7,PUNT
Eastern Michigan,Mid-American,Georgia Southern,Sun Belt,401032056,4010320562,false,1,33,12,1,41,10,53,53,3,8,PUNT
Georgia Southern,Sun Belt,Eastern Michigan,Mid-American,401032056,4010320563,true,1,95,10,1,0,1,52,1,15,95,TD
Eastern Michigan,Mid-American,Georgia Southern,Sun Belt,401032056,4010320564,false,1,25,1,2,52,13,31,21,6,27,PUNT
Georgia Southern,Sun Belt,Eastern Michigan,Mid-American,401032056,4010320565,false,2,83,13,2,61,11,8,23,4,22,PUNT
Eastern Michigan,Mid-American,Georgia Southern,Sun Belt,401032056,4010320566,true,2,50,11,2,100,7,53,15,6,50,TD
Georgia Southern,Sun Belt,Eastern Michigan,Mid-American,401032056,4010320567,true,2,82,7,2,0,3,48,5,7,82,TD
Eastern Michigan,Mid-American,Georgia Southern,Sun Belt,401032056,4010320568,false,2,25,3,2,28,2,46,2,3,3,PUNT
Georgia Southern,Sun Belt,Eastern Michigan,Mid-American,401032056,4010320569,true,2,62,2,2,65,,,46,9,29,END OF HALF
Middle Tennessee,Conference USA,Appalachian State,Sun Belt,401032057,4010320571,false,1,75,15,1,30,9,55,5,10,45,MISSED FG
Appalachian State,Sun Belt,Middle Tennessee,Conference USA,401032057,4010320572,false,1,30,9,1,36,8,33,22,3,6,INT
Middle Tennessee,Conference USA,Appalachian State,Sun Belt,401032057,4010320573,true,1,46,8,1,7,5,15,18,7,39,FG
Appalachian State,Sun Belt,Middle Tennessee,Conference USA,401032057,4010320574,false,1,28,5,1,28,4,54,21,2,-7,FUMBLE
Middle Tennessee,Conference USA,Appalachian State,Sun Belt,401032057,4010320575,false,1,21,4,1,15,3,22,32,4,6,INT
Appalachian State,Sun Belt,Middle Tennessee,Conference USA,401032057,4010320576,true,1,23,3,2,95,13,48,34,10,72,FG
Middle Tennessee,Conference USA,Appalachian State,Sun Belt,401032057,4010320577,false,2,75,13,2,57,11,7,41,7,19,DOWNS
Appalachian State,Sun Belt,Middle Tennessee,Conference USA,401032057,4010320578,true,2,56,11,2,100,10,6,1,3,44,TD
Middle Tennessee,Conference USA,Appalachian State,Sun Belt,401032057,4010320579,false,2,44,10,2,44,9,40,26,3,0,INT
UAB,Conference USA,Northern Illinois,Mid-American,401032058,4010320581,true,1,70,15,1,0,14,42,18,1,70,TD
Northern Illinois,Mid-American,UAB,Conference USA,401032058,4010320582,false,1,25,14,1,31,13,49,53,3,6,PUNT
UAB,Conference USA,Northern Illinois,Mid-American,401032058,4010320583,true,1,78,13,1,8,8,8,41,13,70,FG
Northern Illinois,Mid-American,UAB,Conference USA,401032058,4010320584,false,1,25,8,1,31,6,47,21,3,6,PUNT
UAB,Conference USA,Northern Illinois,Mid-American,401032058,4010320585,false,1,74,6,1,53,4,23,24,7,21,PUNT
Northern Illinois,Mid-American,UAB,Conference USA,401032058,4010320586,true,1,41,4,1,100,,30,53,9,59,TD
UAB,Conference USA,Northern Illinois,Mid-American,401032058,4010320587,true,1,54,,2,0,12,8,22,8,54,TD
Northern Illinois,Mid-American,UAB,Conference USA,401032058,4010320588,true,2,25,12,2,90,7,41,27,12,65,FG
UAB,Conference USA,Northern Illinois,Mid-American,401032058,4010320589,true,2,75,7,2,0,5,11,30,7,75,TD
San Diego State,Mountain West,Ohio,Mid-American,401032059,4010320591,false,1,78,15,1,55,9,10,50,9,23,FUMBLE
Ohio,Mid-American,San Diego State,Mountain West,401032059,4010320592,true,1,21,9,1,87,2,20,50,12,66,FG
San Diego State,Mountain West,Ohio,Mid-American,401032059,4010320593,false,1,80,2,2,62,14,52,28,4,18,PUNT
Ohio,Mid-American,San Diego State,Mountain West,401032059,4010320594,true,2,28,14,2,100,7,57,55,15,72,TD
San Diego State,Mountain West,Ohio,Mid-American,401032059,4010320595,false,2,77,7,2,68,6,16,41,3,9,PUNT
Ohio,Mid-American,San Diego State,Mountain West,401032059,4010320596,false,2,31,6,2,65,2,8,8,7,34,INT
San Diego State,Mountain West,Ohio,Mid-American,401032059,4010320597,false,2,80,2,2,77,1,1,7,4,3,PUNT
Ohio,Mid-American,San Diego State,Mountain West,401032059,4010320598,true,2,57,1,2,100,,7,54,5,43,TD
San Diego State,Mountain West,Ohio,Mid-American,401032059,4010320599,false,2,75,,2,64,,,7,1,11,END OF HALF
Marshall,Conference USA,South Florida,American Athletic,401032060,4010320601,false,1,75,15,1,29,13,47,13,5,46,DOWNS
South Florida,American Athletic,Marshall,Conference USA,401032060,4010320602,false,1,29,13,1,30,12,35,12,3,1,PUNT
Marshall,Conference USA,South Florida,American Athletic,401032060,4010320603,false,1,78,12,1,84,10,43,52,3,-6,PUNT
South Florida,American Athletic,Marshall,Conference USA,401032060,4010320604,false,1,31,10,1,45,9,1,42,4,14,PUNT
Marshall,Conference USA,South Florida,American Athletic,401032060,4010320605,true,1,81,9,1,0,5,20,41,7,81,TD
South Florida,American Athletic,Marshall,Conference USA,401032060,4010320606,false,1,40,5,1,33,4,48,32,2,-10,FUMBLE
Marshall,Conference USA,South Florida,American Athletic,401032060,4010320607,true,1,1,4,1,0,4,43,5,1,1,TD
South Florida,American Athletic,Marshall,Conference USA,401032060,4010320608,true,1,25,4,1,100,2,43,,6,75,TD
Marshall,Conference USA,South Florida,American Athletic,401032060,4010320609,true,1,80,2,1,0,,25,18,5,80,TD
Toledo,Mid-American,Florida International,Conference USA,401032061,4010320611,true,1,97,15,1,100,14,37,23,2,3,TD
Florida International,Conference USA,Toledo,Mid-American,401032061,4010320612,false,1,85,14,1,49,9,36,1,9,36,PUNT
Toledo,Mid-American,Florida International,Conference USA,401032061,4010320613,false,1,14,9,1,59,7,2,34,6,45,PUNT
Florida International,Conference USA,Toledo,Mid-American,401032061,4010320614,false,1,80,7,1,76,5,21,41,3,4,PUNT
Toledo,Mid-American,Florida International,Conference USA,401032061,4010320615,true,1,38,5,1,90,,11,10,12,52,FG
Florida International,Conference USA,Toledo,Mid-American,401032061,4010320616,true,1,75,,2,0,12,44,27,8,75,TD
Toledo,Mid-American,Florida International,Conference USA,401032061,4010320617,false,2,30,12,2,45,9,44,,5,15,PUNT
Florida International,Conference USA,Toledo,Mid-American,401032061,4010320618,false,2,94,9,2,96,7,56,48,3,-2,PUNT
Toledo,Mid-American,Florida International,Conference USA,401032061,4010320619,false,2,80,7,2,93,6,18,38,4,16,FUMBLE
Western Michigan,Mid-American,BYU,FBS Independents,401032062,4010320621,false,1,82,15,1,21,7,24,36,14,62,DOWNS
BYU,FBS Independents,Western Michigan,Mid-American,401032062,4010320622,false,1,20,7,1,39,5,27,57,4,19,PUNT
Western Michigan,Mid-American,BYU,FBS Independents,401032062,4010320623,false,1,86,5,1,82,3,1,26,3,4,PUNT
BYU,FBS Independents,Western Michigan,Mid-American,401032062,4010320624,true,1,73,3,1,100,2,20,41,2,27,TD
Western Michigan,Mid-American,BYU,FBS Independents,401032062,4010320625,false,1,75,2,2,59,14,46,34,5,16,PUNT
BYU,FBS Independents,Western Michigan,Mid-American,401032062,4010320626,false,2,22,14,2,55,10,26,20,8,31,DOWNS
Western Michigan,Mid-American,BYU,FBS Independents,401032062,4010320627,false,2,53,10,2,39,7,48,38,6,14,PUNT
BYU,FBS Independents,Western Michigan,Mid-American,401032062,4010320628,false,2,15,7,2,62,5,,48,7,25,FUMBLE
Western Michigan,Mid-American,BYU,FBS Independents,401032062,4010320629,true,2,40,5,2,0,3,7,53,4,40,TD
Wake Forest,ACC,Memphis,American Athletic,401032063,4010320631,true,1,25,15,1,100,12,28,32,10,75,TD
Memphis,American Athletic,Wake Forest,ACC,401032063,4010320632,true,1,76,12,1,0,10,6,22,6,76,TD
Wake Forest,ACC,Memphis,American Athletic,401032063,4010320633,false,1,25,10,1,45,8,57,9,4,20,PUNT
Memphis,American Athletic,Wake Forest,ACC,401032063,4010320634,true,1,98,8,1,0,3,28,29,16,98,TD
Wake Forest,ACC,Memphis,American Athletic,401032063,4010320635,false,1,25,3,1,21,2,2,26,3,-4,PUNT
Memphis,American Athletic,Wake Forest,ACC,401032063,4010320636,false,1,67,2,1,72,,17,45,3,-5,PUNT
Wake Forest,ACC,Memphis,American Athletic,401032063,4010320637,true,1,24,,2,27,14,49,28,3,3,INT TD
Wake Forest,ACC,Memphis,American Athletic,401032063,4010320638,true,2,25,14,2,82,11,16,33,13,57,FG
