offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.seconds,plays,yards,drive_result
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280724,true,4,54,7,4,0,4,24,48,6,54,TD
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280725,false,4,15,4,4,34,2,46,38,4,19,INT
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280726,true,4,10,2,4,0,1,56,50,2,10,TD
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280727,false,4,25,1,4,42,,,56,5,17,END OF GAME
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282310,false,2,30,10,2,35,9,34,24,3,5,PUNT
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282311,true,2,79,9,2,0,8,16,18,6,79,TD
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282312,false,2,25,8,2,28,7,3,13,3,3,PUNT
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282313,false,2,41,7,2,12,4,30,33,6,29,DOWNS
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282314,false,2,12,4,2,12,4,7,23,3,0,PUNT
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282315,true,2,50,4,2,0,2,31,36,4,50,TD
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282316,false,2,25,2,2,30,1,7,24,3,5,PUNT
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282317,false,2,71,1,2,59,,,7,2,12,END OF HALF
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282318,false,3,25,15,3,58,8,39,21,14,33,PUNT
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282319,false,3,80,8,3,41,5,42,57,5,39,PUNT
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282320,false,3,10,5,3,9,3,50,52,3,-1,PUNT
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282321,false,3,53,3,3,51,2,12,38,3,2,PUNT
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282322,true,3,30,2,4,100,14,49,18,6,70,TD
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282323,false,4,83,14,4,79,13,16,33,3,4,INT
Rutgers,Big Ten,Buffalo,Mid-American,401012823,40101282324,false,4,48,13,4,84,10,55,21,7,36,DOWNS
Buffalo,Mid-American,Rutgers,Big Ten,401012823,40101282325,false,4,84,10,4,61,9,19,36,4,23,PUNT
