offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.seconds,plays,yards,drive_result
Arkansas,SEC,Auburn,SEC,401012285,40101228521,false,3,75,9,3,66,7,16,49,3,9,PUNT
Auburn,SEC,Arkansas,SEC,401012285,40101228522,false,3,25,7,3,31,5,30,46,3,6,PUNT
Arkansas,SEC,Auburn,SEC,401012285,40101228523,false,3,91,5,3,82,3,29,1,3,9,PUNT
Auburn,SEC,Arkansas,SEC,401012285,40101228524,false,3,40,3,3,52,,47,42,7,12,PUNT
Arkansas,SEC,Auburn,SEC,401012285,40101228525,false,3,90,,4,28,12,9,38,10,62,DOWNS
Auburn,SEC,Arkansas,SEC,401012285,40101228526,true,4,28,12,4,100,8,18,51,8,72,TD
Arkansas,SEC,Auburn,SEC,401012285,40101228527,false,4,75,8,4,88,5,51,27,3,-13,PUNT
Auburn,SEC,Arkansas,SEC,401012285,40101228528,true,4,85,5,4,75,3,15,36,4,-10,FG
Arkansas,SEC,Auburn,SEC,401012285,40101228529,false,4,75,3,4,77,,31,44,3,-2,PUNT
Auburn,SEC,Arkansas,SEC,401012285,40101228530,false,4,38,,4,36,,,31,1,-2,END OF GAME
Mississippi State,SEC,Kentucky,SEC,401012286,40101228610,false,2,90,3,2,84,2,15,9,3,6,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,40101228611,true,2,48,2,2,100,,50,25,6,52,TD
Mississippi State,SEC,Kentucky,SEC,401012286,40101228612,false,2,79,,2,54,,,50,4,25,END OF HALF
Mississippi State,SEC,Kentucky,SEC,401012286,40101228613,false,3,75,15,3,67,11,38,22,6,8,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,40101228614,true,3,8,11,3,100,6,3,35,11,92,TD
Mississippi State,SEC,Kentucky,SEC,401012286,40101228615,false,3,75,6,3,50,2,16,47,6,25,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,40101228616,false,3,19,2,3,20,1,36,40,2,1,INT
Mississippi State,SEC,Kentucky,SEC,401012286,40101228617,false,3,49,1,4,54,12,52,44,7,-5,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,40101228618,false,4,14,12,4,11,9,43,9,4,-3,PUNT
Mississippi State,SEC,Kentucky,SEC,401012286,40101228619,false,4,51,9,4,55,8,9,34,3,-4,INT
Kentucky,SEC,Mississippi State,SEC,401012286,40101228620,true,4,64,8,4,100,8,,9,1,36,TD
Mississippi State,SEC,Kentucky,SEC,401012286,40101228621,false,4,73,8,4,61,6,39,21,4,14,DOWNS
Kentucky,SEC,Mississippi State,SEC,401012286,40101228622,true,4,60,6,4,100,3,45,54,5,40,TD
Mississippi State,SEC,Kentucky,SEC,401012286,40101228623,false,4,78,3,4,83,3,10,35,3,-5,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,40101228624,false,4,53,3,4,93,,,10,7,39,Uncategorized
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228710,false,2,75,9,2,75,8,31,46,2,0,INT
LSU,SEC,Louisiana Tech,Conference USA,401012287,40101228711,true,2,72,8,2,100,8,22,9,1,28,TD
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228712,true,2,75,8,2,0,4,23,59,11,75,TD
LSU,SEC,Louisiana Tech,Conference USA,401012287,40101228713,false,2,25,4,2,43,2,22,1,5,18,PUNT
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228714,false,2,88,2,2,81,1,20,2,3,7,PUNT
LSU,SEC,Louisiana Tech,Conference USA,401012287,40101228715,false,2,46,1,2,49,,35,45,3,-10,FUMBLE
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228716,false,2,36,,2,32,,,35,4,4,DOWNS
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228718,true,3,75,15,3,0,9,10,50,13,75,TD
LSU,SEC,Louisiana Tech,Conference USA,401012287,40101228719,false,3,26,9,3,54,7,10,,6,28,PUNT
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228720,false,3,84,7,3,39,3,59,11,9,45,PUNT
LSU,SEC,Louisiana Tech,Conference USA,401012287,40101228721,false,3,9,3,3,29,,59,,7,20,PUNT
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228722,true,3,71,,4,0,12,54,5,7,71,TD
LSU,SEC,Louisiana Tech,Conference USA,401012287,40101228723,true,4,30,12,4,100,8,6,48,12,70,TD
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228724,false,4,75,8,4,54,7,3,3,5,21,DOWNS
LSU,SEC,Louisiana Tech,Conference USA,401012287,40101228725,true,4,54,7,4,100,2,23,40,7,46,TD
Louisiana Tech,Conference USA,LSU,SEC,401012287,40101228726,false,4,75,2,4,69,,1,22,7,18,DOWNS
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228810,false,2,25,12,2,39,9,19,9,6,14,PUNT
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228811,false,2,73,9,2,35,4,12,7,12,38,PUNT
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228812,false,2,8,4,2,79,1,7,5,8,71,MISSED FG
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228813,false,2,79,1,2,57,,,7,5,22,END OF HALF
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228814,true,3,24,14,3,100,13,20,35,5,76,TD
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228815,true,3,65,13,3,15,10,50,30,8,50,FG
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228816,true,3,29,10,3,100,10,8,42,2,71,TD
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228817,true,3,53,10,3,0,6,45,23,11,53,TD
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228818,false,3,25,6,3,71,4,59,46,4,46,INT
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228819,false,3,73,4,3,58,4,45,14,1,15,INT
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228820,true,3,25,4,3,90,,3,42,13,65,FG
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228821,false,3,75,,3,59,,,3,5,16,PUNT
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228822,true,4,12,12,4,100,9,55,40,7,88,TD
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228823,false,4,75,9,4,66,9,25,30,2,9,FUMBLE
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228824,true,4,66,9,4,100,6,58,27,5,34,TD
Kent State,Mid-American,Ole Miss,SEC,401012288,40101228825,false,4,65,6,4,62,5,25,33,3,3,PUNT
Ole Miss,SEC,Kent State,Mid-American,401012288,40101228826,false,4,14,5,4,59,,,25,8,45,Uncategorized
Georgia,SEC,Missouri,SEC,401012289,40101228910,false,2,67,10,2,32,7,17,28,7,35,MISSED FG
Missouri,SEC,Georgia,SEC,401012289,40101228911,true,2,32,7,2,27,5,45,32,3,-5,PUNT TD
Missouri,SEC,Georgia,SEC,401012289,40101228912,false,2,25,5,2,58,2,18,27,7,30,FUMBLE
Georgia,SEC,Missouri,SEC,401012289,40101228913,false,2,55,2,2,31,1,,18,6,24,DOWNS
Missouri,SEC,Georgia,SEC,401012289,40101228914,false,2,31,1,2,20,,,,2,-11,END OF HALF
Missouri,SEC,Georgia,SEC,401012289,40101228915,false,3,36,15,3,37,13,58,2,3,1,PUNT
Georgia,SEC,Missouri,SEC,401012289,40101228916,true,3,59,13,3,0,11,29,29,5,59,TD
Missouri,SEC,Georgia,SEC,401012289,40101228917,true,3,25,11,3,100,7,50,39,11,75,TD
Georgia,SEC,Missouri,SEC,401012289,40101228918,true,3,66,7,3,0,6,59,51,2,66,TD
Missouri,SEC,Georgia,SEC,401012289,40101228919,false,3,25,6,3,33,5,50,9,3,8,PUNT
Georgia,SEC,Missouri,SEC,401012289,40101228920,false,3,93,5,3,86,3,54,56,3,7,PUNT
Missouri,SEC,Georgia,SEC,401012289,40101228921,true,3,40,3,3,100,1,46,8,9,60,TD
Georgia,SEC,Missouri,SEC,401012289,40101228922,true,3,77,1,4,0,14,52,54,5,77,TD
Missouri,SEC,Georgia,SEC,401012289,40101228923,true,4,25,14,4,100,10,47,5,11,75,TD
Georgia,SEC,Missouri,SEC,401012289,40101228924,false,4,75,10,4,18,6,8,39,9,57,MISSED FG
Missouri,SEC,Georgia,SEC,401012289,40101228925,false,4,20,6,4,39,4,58,10,5,21,DOWNS
Georgia,SEC,Missouri,SEC,401012289,40101228926,true,4,41,4,4,23,1,41,17,7,18,FG
Missouri,SEC,Georgia,SEC,401012289,40101228927,false,4,25,1,4,25,1,18,23,4,0,DOWNS
Georgia,SEC,Missouri,SEC,401012289,40101228928,false,4,25,1,4,27,,,18,2,-2,END OF GAME
Tennessee,SEC,Florida,SEC,401012290,40101229010,true,2,2,11,2,2,11,3,34,2,-2,SF
Florida,SEC,Tennessee,SEC,401012290,40101229011,true,2,65,11,2,0,10,42,21,1,65,TD
Tennessee,SEC,Florida,SEC,401012290,40101229012,false,2,23,10,2,45,8,4,38,5,76,FUMBLE
Florida,SEC,Tennessee,SEC,401012290,40101229013,false,2,80,8,2,83,6,37,27,4,-3,PUNT
Tennessee,SEC,Florida,SEC,401012290,40101229014,false,2,30,6,2,77,3,14,23,9,44,FUMBLE
Florida,SEC,Tennessee,SEC,401012290,40101229015,true,2,74,3,2,8,,15,59,8,66,FG
Tennessee,SEC,Florida,SEC,401012290,40101229016,false,2,25,,3,65,15,,23,1,17,FUMBLE
Florida,SEC,Tennessee,SEC,401012290,40101229017,true,3,19,15,3,0,14,44,16,1,19,TD
Tennessee,SEC,Florida,SEC,401012290,40101229018,true,3,25,14,3,76,12,38,6,8,51,FG
Florida,SEC,Tennessee,SEC,401012290,40101229019,false,3,87,12,3,91,11,,38,3,-4,PUNT
Tennessee,SEC,Florida,SEC,401012290,40101229020,false,3,50,11,3,50,10,52,8,1,0,INT
Florida,SEC,Tennessee,SEC,401012290,40101229021,false,3,98,10,3,80,9,42,10,3,18,PUNT
Tennessee,SEC,Florida,SEC,401012290,40101229022,false,3,28,9,3,35,8,14,28,3,7,PUNT
Florida,SEC,Tennessee,SEC,401012290,40101229023,false,3,82,8,3,77,6,1,13,3,5,PUNT
Tennessee,SEC,Florida,SEC,401012290,40101229024,true,3,31,6,3,100,1,22,39,11,67,TD
Florida,SEC,Tennessee,SEC,401012290,40101229025,true,3,75,1,4,0,13,17,5,7,75,TD
Tennessee,SEC,Florida,SEC,401012290,40101229026,false,4,21,13,4,23,11,48,29,3,2,PUNT
Florida,SEC,Tennessee,SEC,401012290,40101229027,false,4,71,11,4,68,9,53,55,3,3,PUNT
Tennessee,SEC,Florida,SEC,401012290,40101229028,true,4,24,9,4,100,5,4,49,12,76,TD
Florida,SEC,Tennessee,SEC,401012290,40101229029,true,4,47,5,4,0,4,54,10,1,47,TD
Tennessee,SEC,Florida,SEC,401012290,40101229030,false,4,8,4,4,13,3,8,46,3,5,PUNT
Florida,SEC,Tennessee,SEC,401012290,40101229031,false,4,54,3,4,28,,,8,5,26,END OF GAME
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229110,true,2,25,10,2,100,5,23,59,11,75,TD
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229111,false,2,75,5,2,57,2,53,30,6,18,PUNT
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229112,false,2,16,2,2,18,1,10,43,3,2,PUNT
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229113,true,2,54,1,2,18,,,10,7,36,FG
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229114,false,3,21,15,3,45,12,56,4,4,24,PUNT
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229115,true,3,80,12,3,19,10,16,40,10,61,FG
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229116,false,3,22,10,3,16,8,33,43,3,-6,PUNT
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229117,false,3,73,8,3,44,5,30,3,7,29,PUNT
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229118,false,3,14,5,3,19,4,36,54,4,5,FUMBLE
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229119,true,3,6,4,3,0,4,6,30,2,6,TD
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229120,false,3,24,4,3,68,1,25,41,7,44,DOWNS
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229121,false,3,68,1,4,1,13,2,23,8,67,FUMBLE
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229122,false,4,8,13,4,15,11,46,16,3,7,PUNT
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229123,false,4,67,11,4,25,9,38,8,5,42,FUMBLE
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229124,false,4,25,9,4,49,5,54,44,13,24,DOWNS
South Carolina,SEC,Vanderbilt,SEC,401012291,40101229125,true,4,49,5,4,0,2,4,50,8,49,TD
Vanderbilt,SEC,South Carolina,SEC,401012291,40101229126,false,4,27,2,4,95,,,4,7,68,END OF GAME
Washington State,Pac-12,USC,Pac-12,401012748,40101274810,true,2,75,6,2,0,1,39,24,11,75,TD
USC,Pac-12,Washington State,Pac-12,401012748,40101274811,true,2,26,1,2,35,,,39,12,66,END OF HALF
Washington State,Pac-12,USC,Pac-12,401012748,40101274812,true,3,75,15,3,0,10,21,39,11,75,TD
USC,Pac-12,Washington State,Pac-12,401012748,40101274813,true,3,35,10,3,100,9,3,18,3,65,TD
Washington State,Pac-12,USC,Pac-12,401012748,40101274814,false,3,81,9,3,69,6,42,21,3,12,PUNT
USC,Pac-12,Washington State,Pac-12,401012748,40101274815,false,3,23,6,3,24,5,8,34,3,1,PUNT
Washington State,Pac-12,USC,Pac-12,401012748,40101274816,false,3,72,5,3,72,3,18,50,3,0,PUNT
USC,Pac-12,Washington State,Pac-12,401012748,40101274817,true,3,36,3,4,100,14,31,47,9,64,TD
Washington State,Pac-12,USC,Pac-12,401012748,40101274818,true,4,76,14,4,0,10,15,16,7,76,TD
USC,Pac-12,Washington State,Pac-12,401012748,40101274819,true,4,44,10,4,100,8,3,12,5,56,TD
Washington State,Pac-12,USC,Pac-12,401012748,40101274820,false,4,75,8,4,67,6,59,4,3,8,PUNT
USC,Pac-12,Washington State,Pac-12,401012748,40101274821,false,4,20,6,4,25,5,39,20,3,5,PUNT
Washington State,Pac-12,USC,Pac-12,401012748,40101274822,false,4,74,5,4,21,1,41,58,10,53,MISSED FG
USC,Pac-12,Washington State,Pac-12,401012748,40101274823,false,4,21,1,4,39,,,41,4,18,Uncategorized
Oregon,Pac-12,Stanford,Pac-12,401012749,40101274910,false,3,25,15,3,65,9,34,26,10,40,PUNT
Stanford,Pac-12,Oregon,Pac-12,401012749,40101274911,false,3,94,9,3,85,7,14,20,3,9,PUNT
Oregon,Pac-12,Stanford,Pac-12,401012749,40101274912,true,3,51,7,3,96,2,43,31,9,29,FUMBLE TD
Oregon,Pac-12,Stanford,Pac-12,401012749,40101274913,false,3,25,2,3,32,1,23,20,3,7,PUNT
Stanford,Pac-12,Oregon,Pac-12,401012749,40101274914,true,3,65,1,3,0,,12,11,3,65,TD
Oregon,Pac-12,Stanford,Pac-12,401012749,40101274915,false,3,25,,4,27,13,36,36,3,2,PUNT
Stanford,Pac-12,Oregon,Pac-12,401012749,40101274916,false,4,65,13,4,30,10,50,46,6,35,DOWNS
Oregon,Pac-12,Stanford,Pac-12,401012749,40101274917,true,4,30,10,4,100,4,39,11,11,70,TD
Stanford,Pac-12,Oregon,Pac-12,401012749,40101274918,true,4,79,4,4,0,3,10,29,3,79,TD
Oregon,Pac-12,Stanford,Pac-12,401012749,40101274919,false,4,25,3,4,57,,46,24,6,35,FUMBLE
Stanford,Pac-12,Oregon,Pac-12,401012749,40101274920,true,4,60,,4,65,,,46,7,46,END OF GAME
Stanford,Pac-12,Oregon,Pac-12,401012749,40101274921,true,5,25,,5,0,,,,2,25,TD
Oregon,Pac-12,Stanford,Pac-12,401012749,40101274922,false,5,75,,5,18,,,,6,15,Uncategorized
Arizona,Pac-12,Oregon State,Pac-12,401012750,40101275010,false,2,66,7,2,37,3,31,42,10,29,MISSED FG
Oregon State,Pac-12,Arizona,Pac-12,401012750,40101275011,false,2,37,3,2,56,,57,34,6,19,PUNT
Arizona,Pac-12,Oregon State,Pac-12,401012750,40101275012,false,2,72,,2,13,,,57,3,62,END OF HALF
Arizona,Pac-12,Oregon State,Pac-12,401012750,40101275013,true,3,75,15,3,0,10,32,28,12,75,TD
Oregon State,Pac-12,Arizona,Pac-12,401012750,40101275014,false,3,21,10,3,62,1,55,37,17,41,PUNT
Arizona,Pac-12,Oregon State,Pac-12,401012750,40101275015,true,3,94,1,4,0,13,23,32,9,94,TD
Oregon State,Pac-12,Arizona,Pac-12,401012750,40101275016,true,4,25,13,4,100,6,54,29,13,75,TD
Arizona,Pac-12,Oregon State,Pac-12,401012750,40101275017,true,4,75,6,4,0,5,26,28,3,75,TD
Oregon State,Pac-12,Arizona,Pac-12,401012750,40101275018,false,4,25,5,4,17,4,26,,4,-8,DOWNS
Arizona,Pac-12,Oregon State,Pac-12,401012750,40101275019,false,4,17,4,4,1,2,53,33,3,16,FUMBLE
Oregon State,Pac-12,Arizona,Pac-12,401012750,40101275020,false,4,1,2,4,4,,54,59,3,3,PUNT
Arizona,Pac-12,Oregon State,Pac-12,401012750,40101275021,false,4,31,,4,28,,,54,2,3,END OF GAME
Arizona State,Pac-12,Washington,Pac-12,401012751,40101275110,false,2,79,1,2,76,,,5,3,3,END OF HALF
Arizona State,Pac-12,Washington,Pac-12,401012751,40101275111,true,3,67,15,3,23,10,40,20,10,44,FG
