offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Arkansas,SEC,North Texas,Conference USA,401012272,4010122721,false,1,0,15,1,45,12,55,2,5,5,25,PUNT
North Texas,Conference USA,Arkansas,SEC,401012272,4010122722,false,1,76,12,1,69,11,26,1,29,3,7,PUNT
Arkansas,SEC,North Texas,Conference USA,401012272,4010122723,false,1,23,11,1,23,11,19,,7,1,0,INT
North Texas,Conference USA,Arkansas,SEC,401012272,4010122724,true,1,44,11,1,0,9,36,1,43,7,44,TD
Arkansas,SEC,North Texas,Conference USA,401012272,4010122725,true,1,22,9,1,63,6,49,2,47,8,41,PUNT RETURN TD
Arkansas,SEC,North Texas,Conference USA,401012272,4010122727,false,1,23,6,1,23,5,59,,50,2,0,INT
North Texas,Conference USA,Arkansas,SEC,401012272,4010122728,true,1,8,5,1,7,5,4,,55,4,1,FG
Arkansas,SEC,North Texas,Conference USA,401012272,4010122729,false,1,30,5,1,47,,,5,4,6,17,PUNT
Auburn,SEC,LSU,SEC,401012273,4010122731,false,1,25,15,1,27,14,21,,39,2,2,INT
LSU,SEC,Auburn,SEC,401012273,4010122732,true,1,34,14,1,0,9,59,4,22,9,34,TD
Auburn,SEC,LSU,SEC,401012273,4010122733,false,1,25,9,1,25,9,34,,25,3,0,PUNT
LSU,SEC,Auburn,SEC,401012273,4010122734,false,1,69,9,1,46,8,29,1,5,5,23,PUNT
Auburn,SEC,LSU,SEC,401012273,4010122735,false,1,20,8,1,85,6,4,2,25,7,63,DOWNS
LSU,SEC,Auburn,SEC,401012273,4010122736,false,1,83,6,1,35,,29,5,35,11,48,MISSED FG
Auburn,SEC,LSU,SEC,401012273,4010122737,false,1,35,,2,38,13,19,2,10,5,3,PUNT
LSU,SEC,Auburn,SEC,401012273,4010122738,true,2,89,13,2,14,8,37,4,42,10,75,FG
Auburn,SEC,LSU,SEC,401012273,4010122739,true,2,25,8,2,100,5,6,3,31,10,74,TD
Florida,SEC,Colorado State,Mountain West,401012274,4010122741,false,1,25,15,1,31,13,59,1,1,3,6,PUNT
Colorado State,Mountain West,Florida,SEC,401012274,4010122742,false,1,80,13,1,89,12,25,1,34,4,-9,FUMBLE
Florida,SEC,Colorado State,Mountain West,401012274,4010122743,true,1,89,12,1,93,10,48,1,37,4,4,FG
