offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Auburn,SEC,Texas A&M,SEC,401012324,4010123241,false,1,25,15,1,18,13,19,1,41,3,-7,PUNT
Texas A&M,SEC,Auburn,SEC,401012324,4010123242,true,1,65,13,1,17,7,10,6,9,13,48,FG
Auburn,SEC,Texas A&M,SEC,401012324,4010123243,false,1,25,7,1,56,3,14,3,56,6,31,PUNT
Texas A&M,SEC,Auburn,SEC,401012324,4010123244,false,1,97,3,1,76,1,43,1,31,3,17,FUMBLE
Auburn,SEC,Texas A&M,SEC,401012324,4010123245,true,1,80,1,1,100,1,37,,6,1,20,TD
Texas A&M,SEC,Auburn,SEC,401012324,4010123246,true,1,75,1,2,0,14,19,2,18,5,75,TD
Auburn,SEC,Texas A&M,SEC,401012324,4010123247,false,2,25,14,2,31,13,2,1,17,3,6,PUNT
Texas A&M,SEC,Auburn,SEC,401012324,4010123248,false,2,76,13,2,55,10,31,2,31,5,21,PUNT
Auburn,SEC,Texas A&M,SEC,401012324,4010123249,false,2,10,10,2,13,9,23,1,8,3,3,FUMBLE
Missouri,SEC,Florida,SEC,401012325,4010123251,false,1,87,15,1,70,11,28,3,32,6,17,PUNT
Florida,SEC,Missouri,SEC,401012325,4010123252,false,1,18,11,1,52,9,49,1,39,6,34,PUNT
Missouri,SEC,Florida,SEC,401012325,4010123253,false,1,92,9,1,89,8,38,1,11,3,3,PUNT
Florida,SEC,Missouri,SEC,401012325,4010123254,true,1,69,8,1,85,7,13,1,25,5,16,FG
Missouri,SEC,Florida,SEC,401012325,4010123255,true,1,76,7,1,0,3,46,3,27,9,76,TD
Florida,SEC,Missouri,SEC,401012325,4010123256,false,1,25,3,1,33,1,51,1,55,3,8,PUNT
Missouri,SEC,Florida,SEC,401012325,4010123257,false,1,78,1,1,39,,,1,51,6,39,PUNT
Florida,SEC,Missouri,SEC,401012325,4010123258,false,2,6,14,2,6,13,59,,50,3,0,PUNT
Missouri,SEC,Florida,SEC,401012325,4010123259,true,2,43,13,2,0,13,12,,47,4,43,TD
Kentucky,SEC,Georgia,SEC,401012326,4010123261,false,1,25,15,1,40,12,41,2,19,4,15,PUNT
Georgia,SEC,Kentucky,SEC,401012326,4010123262,true,1,23,12,1,0,10,37,2,4,4,23,TD
Kentucky,SEC,Georgia,SEC,401012326,4010123263,false,1,25,10,1,49,6,52,3,45,7,24,PUNT
Georgia,SEC,Kentucky,SEC,401012326,4010123264,false,1,87,6,1,78,4,58,1,54,3,9,PUNT
Kentucky,SEC,Georgia,SEC,401012326,4010123265,false,1,23,4,1,63,2,12,2,46,7,44,FUMBLE
Georgia,SEC,Kentucky,SEC,401012326,4010123266,false,1,52,2,1,26,1,20,,52,5,18,FUMBLE
Kentucky,SEC,Georgia,SEC,401012326,4010123267,true,1,34,1,2,84,8,24,7,56,15,50,FG
Georgia,SEC,Kentucky,SEC,401012326,4010123268,true,2,75,8,2,0,2,28,5,56,14,75,TD
Kentucky,SEC,Georgia,SEC,401012326,4010123269,false,2,25,2,2,33,1,22,1,6,3,8,PUNT
Alabama,SEC,LSU,SEC,401012327,4010123271,false,1,75,15,1,34,9,48,5,12,11,41,PUNT
LSU,SEC,Alabama,SEC,401012327,4010123272,false,1,20,9,1,30,7,36,2,12,5,10,PUNT
Alabama,SEC,LSU,SEC,401012327,4010123273,true,1,78,7,1,0,4,58,2,38,5,78,TD
LSU,SEC,Alabama,SEC,401012327,4010123274,false,1,24,4,1,27,3,21,1,37,3,3,PUNT
Alabama,SEC,LSU,SEC,401012327,4010123275,false,1,75,3,1,50,1,9,2,12,6,25,PUNT
LSU,SEC,Alabama,SEC,401012327,4010123276,false,1,18,1,2,58,14,14,1,55,6,40,PUNT
Alabama,SEC,LSU,SEC,401012327,4010123277,true,2,80,14,2,5,6,59,7,15,15,75,FG
LSU,SEC,Alabama,SEC,401012327,4010123278,false,2,35,6,2,53,4,32,2,27,9,18,PUNT
Alabama,SEC,LSU,SEC,401012327,4010123279,false,2,84,4,2,60,3,27,1,5,4,24,INT
South Carolina,SEC,Ole Miss,SEC,401012328,4010123281,true,1,0,15,1,0,14,37,,23,0,0,TD
