offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Northern Illinois,Mid-American,Buffalo,Mid-American,401056696,4010566961,false,1,75,15,1,44,12,17,2,43,8,31,PUNT
Buffalo,Mid-American,Northern Illinois,Mid-American,401056696,4010566962,true,1,6,12,1,100,6,38,5,39,13,94,TD
Northern Illinois,Mid-American,Buffalo,Mid-American,401056696,4010566963,false,1,75,6,1,38,4,55,1,43,4,37,PUNT
Buffalo,Mid-American,Northern Illinois,Mid-American,401056696,4010566964,true,1,6,4,2,100,14,55,5,,11,94,TD
Northern Illinois,Mid-American,Buffalo,Mid-American,401056696,4010566965,true,2,75,14,2,0,9,51,5,4,12,75,TD
Buffalo,Mid-American,Northern Illinois,Mid-American,401056696,4010566966,true,2,25,9,2,100,5,41,4,10,9,75,TD
Northern Illinois,Mid-American,Buffalo,Mid-American,401056696,4010566967,true,2,75,5,2,22,1,42,3,59,12,53,FG
Buffalo,Mid-American,Northern Illinois,Mid-American,401056696,4010566968,true,2,23,1,2,61,,3,1,39,8,70,DOWNS
Northern Illinois,Mid-American,Buffalo,Mid-American,401056696,4010566969,false,2,61,,2,61,,,,3,0,0,Uncategorized
Clemson,ACC,Pittsburgh,ACC,401056697,4010566971,true,1,75,15,1,0,14,47,,13,1,75,TD
Pittsburgh,ACC,Clemson,ACC,401056697,4010566972,false,1,25,14,1,15,13,14,1,33,3,-10,PUNT
Clemson,ACC,Pittsburgh,ACC,401056697,4010566973,false,1,58,13,1,54,11,48,1,26,3,4,PUNT
Pittsburgh,ACC,Clemson,ACC,401056697,4010566974,false,1,39,11,1,21,9,34,2,14,3,-18,FUMBLE
Clemson,ACC,Pittsburgh,ACC,401056697,4010566975,true,1,3,9,1,0,9,29,,5,1,3,TD
Pittsburgh,ACC,Clemson,ACC,401056697,4010566976,false,1,15,9,1,16,8,28,1,1,3,1,PUNT
Clemson,ACC,Pittsburgh,ACC,401056697,4010566977,false,1,57,8,1,19,6,8,2,20,6,38,DOWNS
Pittsburgh,ACC,Clemson,ACC,401056697,4010566978,true,1,19,6,1,81,1,46,4,22,9,62,FG
Clemson,ACC,Pittsburgh,ACC,401056697,4010566979,false,1,75,1,1,73,1,3,,43,3,2,PUNT
Texas,Big 12,Oklahoma,Big 12,401056698,4010566981,true,1,75,15,1,0,11,38,3,22,9,75,TD
Oklahoma,Big 12,Texas,Big 12,401056698,4010566982,true,1,25,11,1,97,7,37,4,1,9,72,FG
Texas,Big 12,Oklahoma,Big 12,401056698,4010566983,false,1,75,7,1,58,5,,2,37,5,17,PUNT
Oklahoma,Big 12,Texas,Big 12,401056698,4010566984,true,1,35,5,2,90,14,50,5,10,13,55,FG
Texas,Big 12,Oklahoma,Big 12,401056698,4010566985,true,2,75,14,2,0,11,22,3,28,9,75,TD
Oklahoma,Big 12,Texas,Big 12,401056698,4010566986,false,2,25,11,2,34,10,6,1,16,3,9,PUNT
Texas,Big 12,Oklahoma,Big 12,401056698,4010566987,false,2,69,10,2,62,7,45,2,21,4,7,PUNT
Oklahoma,Big 12,Texas,Big 12,401056698,4010566988,true,2,13,7,2,100,5,1,2,44,6,87,TD
Texas,Big 12,Oklahoma,Big 12,401056698,4010566989,false,2,75,5,2,46,,59,4,2,7,29,PUNT
Memphis,American Athletic,UCF,American Athletic,401056699,4010566991,true,1,77,15,1,0,13,13,1,47,4,77,TD
UCF,American Athletic,Memphis,American Athletic,401056699,4010566992,false,1,25,13,1,36,12,24,,49,4,2,FUMBLE
Memphis,American Athletic,UCF,American Athletic,401056699,4010566993,true,1,27,12,1,0,11,55,,29,2,27,TD
UCF,American Athletic,Memphis,American Athletic,401056699,4010566994,true,1,35,11,1,100,9,48,2,7,7,65,TD
Memphis,American Athletic,UCF,American Athletic,401056699,4010566995,true,1,76,9,1,0,8,22,1,26,3,76,TD
UCF,American Athletic,Memphis,American Athletic,401056699,4010566996,false,1,25,8,1,54,6,28,1,54,6,26,FUMBLE
Memphis,American Athletic,UCF,American Athletic,401056699,4010566997,true,1,51,6,1,19,1,30,4,58,11,32,FG
UCF,American Athletic,Memphis,American Athletic,401056699,4010566998,true,1,22,1,2,100,11,52,4,38,13,78,TD
Memphis,American Athletic,UCF,American Athletic,401056699,4010566999,true,2,81,11,2,0,11,24,,28,2,81,TD
Boise State,Mountain West,Fresno State,Mountain West,401056700,4010567001,false,1,34,15,1,61,12,32,2,28,6,27,PUNT
Fresno State,Mountain West,Boise State,Mountain West,401056700,4010567002,false,1,92,12,1,63,10,19,2,13,6,29,PUNT
Boise State,Mountain West,Fresno State,Mountain West,401056700,4010567003,false,1,26,10,1,26,10,11,,8,1,-6,FUMBLE
Fresno State,Mountain West,Boise State,Mountain West,401056700,4010567004,true,1,20,10,1,0,9,3,1,8,3,20,TD
Boise State,Mountain West,Fresno State,Mountain West,401056700,4010567005,true,1,25,9,1,100,1,56,7,7,15,75,TD
