offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Arkansas State,Sun Belt,401012260,4010122601,true,1,25,15,1,100,13,19,1,41,5,75,TD
Arkansas State,Sun Belt,Alabama,SEC,401012260,4010122602,false,1,75,13,1,71,11,42,1,37,3,4,PUNT
Alabama,SEC,Arkansas State,Sun Belt,401012260,4010122603,true,1,69,11,1,100,11,30,,12,2,31,TD
Arkansas State,Sun Belt,Alabama,SEC,401012260,4010122604,false,1,78,11,1,42,8,54,2,36,7,36,PUNT
Alabama,SEC,Arkansas State,Sun Belt,401012260,4010122605,false,1,11,8,1,36,6,53,2,1,4,25,PUNT
Arkansas State,Sun Belt,Alabama,SEC,401012260,4010122606,false,1,68,6,1,75,5,44,1,9,3,-7,PUNT
Alabama,SEC,Arkansas State,Sun Belt,401012260,4010122607,true,1,30,5,1,100,3,,2,44,7,70,TD
Arkansas State,Sun Belt,Alabama,SEC,401012260,4010122608,false,1,76,3,1,50,1,28,1,32,5,26,PUNT
Alabama,SEC,Arkansas State,Sun Belt,401012260,4010122609,false,1,16,1,2,96,13,37,2,51,7,80,FUMBLE
Arkansas,SEC,Colorado State,Mountain West,401012261,4010122611,false,1,75,15,1,77,13,57,1,3,3,-2,INT
Colorado State,Mountain West,Arkansas,SEC,401012261,4010122612,true,1,57,13,1,63,12,26,1,31,4,6,FG
Arkansas,SEC,Colorado State,Mountain West,401012261,4010122613,false,1,75,12,1,57,11,19,1,7,4,18,PUNT
Colorado State,Mountain West,Arkansas,SEC,401012261,4010122614,false,1,17,11,1,30,8,8,3,11,6,13,PUNT
Arkansas,SEC,Colorado State,Mountain West,401012261,4010122615,true,1,73,8,1,0,1,56,6,12,14,73,TD
Colorado State,Mountain West,Arkansas,SEC,401012261,4010122616,false,1,26,1,1,41,,46,1,10,3,15,INT
Arkansas,SEC,Colorado State,Mountain West,401012261,4010122617,false,1,73,,2,65,14,2,1,44,5,8,PUNT
Colorado State,Mountain West,Arkansas,SEC,401012261,4010122618,false,2,32,14,2,32,13,41,,21,3,0,PUNT
Arkansas,SEC,Colorado State,Mountain West,401012261,4010122619,true,2,80,13,2,10,9,37,4,4,10,70,FG
Auburn,SEC,Alabama State,,401012262,4010122621,false,1,28,15,1,34,13,42,1,18,3,6,PUNT
Alabama State,,Auburn,SEC,401012262,4010122622,false,1,74,13,1,84,12,29,1,13,3,-10,PUNT
