offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Louisiana,Sun Belt,401012292,4010122921,true,1,28,15,1,100,11,25,3,35,8,72,TD
Louisiana,Sun Belt,Alabama,SEC,401012292,4010122922,false,1,75,11,1,69,10,20,1,5,3,6,PUNT
Alabama,SEC,Louisiana,Sun Belt,401012292,4010122923,true,1,86,10,1,100,9,25,,55,2,14,TD
Louisiana,Sun Belt,Alabama,SEC,401012292,4010122924,true,1,75,9,1,76,8,2,1,23,3,-1,PUNT RETURN TD
Louisiana,Sun Belt,Alabama,SEC,401012292,4010122925,false,1,75,8,1,64,4,9,3,53,6,11,PUNT
Alabama,SEC,Louisiana,Sun Belt,401012292,4010122926,true,1,42,4,1,100,2,28,1,41,5,69,TD
Louisiana,Sun Belt,Alabama,SEC,401012292,4010122927,false,1,70,2,1,59,,53,1,35,4,11,PUNT
Alabama,SEC,Louisiana,Sun Belt,401012292,4010122928,true,1,20,,2,100,13,52,2,1,5,80,TD
Louisiana,Sun Belt,Alabama,SEC,401012292,4010122929,false,2,77,13,2,72,11,40,2,12,3,5,PUNT
Texas A&M,SEC,Arkansas,SEC,401012293,4010122931,true,1,100,15,1,100,14,46,,14,0,0,TD
Arkansas,SEC,Texas A&M,SEC,401012293,4010122932,false,1,75,14,1,73,13,26,1,20,3,2,PUNT
Texas A&M,SEC,Arkansas,SEC,401012293,4010122933,true,1,34,13,1,100,8,36,4,50,8,79,TD
Arkansas,SEC,Texas A&M,SEC,401012293,4010122934,false,1,89,8,1,96,7,8,1,28,3,-7,PUNT
Texas A&M,SEC,Arkansas,SEC,401012293,4010122935,false,1,40,7,1,45,6,26,,42,2,5,INT
Arkansas,SEC,Texas A&M,SEC,401012293,4010122936,false,1,51,6,1,45,4,28,1,58,3,6,PUNT
Texas A&M,SEC,Arkansas,SEC,401012293,4010122937,false,1,19,4,1,35,1,43,2,45,4,16,PUNT
Arkansas,SEC,Texas A&M,SEC,401012293,4010122938,false,1,80,1,1,84,,12,1,31,3,-4,PUNT
Texas A&M,SEC,Arkansas,SEC,401012293,4010122939,true,1,39,,2,87,12,36,2,36,7,48,FG
Southern Mississippi,Conference USA,Auburn,SEC,401012294,4010122941,false,1,75,15,1,45,10,17,4,43,7,30,PUNT
Auburn,SEC,Southern Mississippi,Conference USA,401012294,4010122942,false,1,20,10,1,22,9,13,1,4,3,2,PUNT
Southern Mississippi,Conference USA,Auburn,SEC,401012294,4010122943,false,1,68,9,1,67,7,28,1,45,4,1,FUMBLE
Auburn,SEC,Southern Mississippi,Conference USA,401012294,4010122944,false,1,67,7,1,60,5,19,2,9,3,-7,PUNT
Southern Mississippi,Conference USA,Auburn,SEC,401012294,4010122945,false,1,97,5,1,92,4,18,1,1,3,5,PUNT
Auburn,SEC,Southern Mississippi,Conference USA,401012294,4010122946,true,1,53,4,1,100,3,39,,39,2,47,TD
Southern Mississippi,Conference USA,Auburn,SEC,401012294,4010122947,false,1,75,3,1,59,2,56,,43,2,16,INT
Auburn,SEC,Southern Mississippi,Conference USA,401012294,4010122948,false,1,11,2,1,4,,38,2,18,3,-7,PUNT
Southern Mississippi,Conference USA,Auburn,SEC,401012294,4010122949,true,1,47,,2,27,12,51,2,47,7,20,FG
Tennessee,SEC,Georgia,SEC,401012295,4010122951,false,1,75,15,1,56,12,32,2,28,4,19,PUNT
Georgia,SEC,Tennessee,SEC,401012295,4010122952,true,1,14,12,1,100,8,52,3,40,8,86,TD
Tennessee,SEC,Georgia,SEC,401012295,4010122953,false,1,75,8,1,71,6,35,2,17,3,4,PUNT
Georgia,SEC,Tennessee,SEC,401012295,4010122954,false,1,25,6,1,35,3,39,2,56,6,10,PUNT
Tennessee,SEC,Georgia,SEC,401012295,4010122955,false,1,84,3,1,75,2,12,1,27,3,9,PUNT
Georgia,SEC,Tennessee,SEC,401012295,4010122956,true,1,40,2,2,75,11,57,5,15,9,35,FG
Tennessee,SEC,Georgia,SEC,401012295,4010122957,false,2,75,11,2,55,9,59,1,58,6,20,PUNT
Georgia,SEC,Tennessee,SEC,401012295,4010122958,false,2,20,9,2,47,8,37,1,22,5,27,PUNT
Tennessee,SEC,Georgia,SEC,401012295,4010122959,false,2,80,8,2,72,5,37,3,,5,8,PUNT
South Carolina,SEC,Kentucky,SEC,401012296,4010122961,false,1,75,15,1,74,13,56,1,4,3,1,PUNT
Kentucky,SEC,South Carolina,SEC,401012296,4010122962,false,1,25,13,1,30,12,12,1,44,3,5,PUNT
South Carolina,SEC,Kentucky,SEC,401012296,4010122963,false,1,83,12,1,88,12,6,,6,1,-10,FUMBLE
Kentucky,SEC,South Carolina,SEC,401012296,4010122964,true,1,93,12,1,89,10,6,2,,4,-4,FG
South Carolina,SEC,Kentucky,SEC,401012296,4010122965,true,1,84,10,1,12,5,7,4,59,13,72,FG
Kentucky,SEC,South Carolina,SEC,401012296,4010122966,true,1,25,5,2,100,14,21,5,46,11,75,TD
South Carolina,SEC,Kentucky,SEC,401012296,4010122967,false,2,75,14,2,66,12,31,1,50,3,9,PUNT
Kentucky,SEC,South Carolina,SEC,401012296,4010122968,true,2,20,12,2,100,9,15,3,16,7,80,TD
South Carolina,SEC,Kentucky,SEC,401012296,4010122969,false,2,75,9,2,70,8,16,,59,3,5,INT
Ole Miss,SEC,LSU,SEC,401012297,4010122971,false,1,75,15,1,80,14,49,,11,2,-5,INT
LSU,SEC,Ole Miss,SEC,401012297,4010122972,false,1,47,14,1,66,12,2,2,47,7,19,MISSED FG
Ole Miss,SEC,LSU,SEC,401012297,4010122973,true,1,65,12,1,13,9,6,2,56,9,52,FG
LSU,SEC,Ole Miss,SEC,401012297,4010122974,true,1,19,9,1,100,5,59,3,7,6,81,TD
Ole Miss,SEC,LSU,SEC,401012297,4010122975,false,1,80,5,1,74,4,52,1,7,3,6,PUNT
LSU,SEC,Ole Miss,SEC,401012297,4010122976,true,1,29,4,1,100,,57,3,55,9,71,TD
Ole Miss,SEC,LSU,SEC,401012297,4010122977,false,1,75,,2,80,14,47,1,10,3,-5,PUNT
LSU,SEC,Ole Miss,SEC,401012297,4010122978,true,2,17,14,2,100,8,59,5,48,12,83,TD
Ole Miss,SEC,LSU,SEC,401012297,4010122979,false,2,75,8,2,75,8,26,,33,3,0,PUNT
Mississippi State,SEC,Florida,SEC,401012298,4010122981,false,1,15,15,1,22,13,22,1,38,3,7,PUNT
Florida,SEC,Mississippi State,SEC,401012298,4010122982,false,1,69,13,1,52,9,37,3,45,6,17,PUNT
Mississippi State,SEC,Florida,SEC,401012298,4010122983,true,1,24,9,1,83,3,28,6,9,12,59,FG
Florida,SEC,Mississippi State,SEC,401012298,4010122984,true,1,90,3,2,22,10,24,8,4,15,68,FG
Mississippi State,SEC,Florida,SEC,401012298,4010122985,true,2,21,10,2,78,3,30,6,54,13,67,FG
Florida,SEC,Mississippi State,SEC,401012298,4010122986,false,2,77,3,2,61,1,48,1,42,6,16,PUNT
Mississippi State,SEC,Florida,SEC,401012298,4010122987,false,2,11,1,2,32,,,1,48,5,21,DOWNS
Florida,SEC,Mississippi State,SEC,401012298,4010122989,false,3,75,15,3,55,12,17,2,43,5,20,INT
Tennessee State,,Vanderbilt,SEC,401012299,4010122991,false,1,64,15,1,50,11,36,3,24,5,14,PUNT
Vanderbilt,SEC,Tennessee State,,401012299,4010122992,false,1,49,11,1,68,8,17,3,19,6,19,INT
Tennessee State,,Vanderbilt,SEC,401012299,4010122993,false,1,59,8,1,29,5,8,3,9,8,30,MISSED FG
Vanderbilt,SEC,Tennessee State,,401012299,4010122994,false,1,30,5,1,96,1,38,3,30,8,66,INT
Tennessee State,,Vanderbilt,SEC,401012299,4010122995,true,1,35,1,2,0,14,47,1,51,6,35,TD
Vanderbilt,SEC,Tennessee State,,401012299,4010122996,true,2,25,14,2,100,11,23,3,24,7,75,TD
Tennessee State,,Vanderbilt,SEC,401012299,4010122997,true,2,75,11,2,0,6,32,4,51,9,75,TD
Vanderbilt,SEC,Tennessee State,,401012299,4010122998,false,2,27,6,2,91,1,21,5,11,13,64,MISSED FG
Tennessee State,,Vanderbilt,SEC,401012299,4010122999,false,2,80,1,2,84,,54,,27,3,-4,PUNT
UCLA,Pac-12,Colorado,Pac-12,401012752,4010127521,false,1,75,15,1,69,13,21,1,39,4,6,PUNT
Colorado,Pac-12,UCLA,Pac-12,401012752,4010127522,false,1,13,13,1,21,11,55,1,26,3,8,PUNT
UCLA,Pac-12,Colorado,Pac-12,401012752,4010127523,true,1,47,11,1,0,7,20,4,35,8,47,TD
Colorado,Pac-12,UCLA,Pac-12,401012752,4010127524,true,1,15,7,1,100,5,,2,20,5,85,TD
UCLA,Pac-12,Colorado,Pac-12,401012752,4010127525,true,1,75,5,1,4,,57,4,3,11,71,FG
Colorado,Pac-12,UCLA,Pac-12,401012752,4010127526,false,1,25,,2,51,13,54,2,3,7,26,PUNT
UCLA,Pac-12,Colorado,Pac-12,401012752,4010127527,false,2,85,13,2,55,12,4,1,50,5,30,PUNT
Colorado,Pac-12,UCLA,Pac-12,401012752,4010127528,true,2,20,12,2,100,6,13,5,51,12,80,TD
UCLA,Pac-12,Colorado,Pac-12,401012752,4010127529,true,2,75,6,2,33,1,40,4,33,11,42,FG
USC,Pac-12,Arizona,Pac-12,401012753,4010127531,false,1,75,15,1,61,13,24,1,36,4,14,PUNT
Arizona,Pac-12,USC,Pac-12,401012753,4010127532,false,1,31,13,1,50,10,32,2,52,6,19,PUNT
USC,Pac-12,Arizona,Pac-12,401012753,4010127533,true,1,80,10,1,0,5,52,4,40,12,80,TD
Arizona,Pac-12,USC,Pac-12,401012753,4010127534,false,1,25,5,1,41,3,58,1,54,4,16,PUNT
USC,Pac-12,Arizona,Pac-12,401012753,4010127535,false,1,59,3,1,62,2,42,1,16,3,-3,PUNT
Arizona,Pac-12,USC,Pac-12,401012753,4010127536,false,1,24,2,1,41,,28,2,14,5,17,PUNT
USC,Pac-12,Arizona,Pac-12,401012753,4010127537,false,1,85,,2,66,13,45,1,43,5,19,PUNT
Arizona,Pac-12,USC,Pac-12,401012753,4010127538,false,2,12,13,2,17,13,32,,13,1,5,INT
USC,Pac-12,Arizona,Pac-12,401012753,4010127539,true,2,32,13,2,24,11,12,2,20,4,8,FG
Arizona State,Pac-12,Oregon State,Pac-12,401012754,4010127541,true,1,25,15,1,89,8,30,6,30,15,64,FG
Oregon State,Pac-12,Arizona State,Pac-12,401012754,4010127542,false,1,75,8,1,68,5,24,3,6,6,7,PUNT
Arizona State,Pac-12,Oregon State,Pac-12,401012754,4010127543,true,1,43,5,1,100,4,28,,56,4,57,TD
Oregon State,Pac-12,Arizona State,Pac-12,401012754,4010127544,false,1,75,4,1,74,2,36,1,52,3,1,PUNT
Arizona State,Pac-12,Oregon State,Pac-12,401012754,4010127545,true,1,38,2,2,100,14,53,2,43,10,62,TD
Oregon State,Pac-12,Arizona State,Pac-12,401012754,4010127546,true,2,75,14,2,18,9,17,5,36,13,57,FG
Arizona State,Pac-12,Oregon State,Pac-12,401012754,4010127547,true,2,25,9,2,100,7,49,1,28,4,75,TD
Oregon State,Pac-12,Arizona State,Pac-12,401012754,4010127548,true,2,75,7,2,0,6,22,1,27,5,75,TD
Arizona State,Pac-12,Oregon State,Pac-12,401012754,4010127549,false,2,25,6,2,32,4,34,1,48,3,7,PUNT
Washington,Pac-12,BYU,FBS Independents,401012755,4010127551,false,1,25,15,1,49,12,22,2,38,5,24,PUNT
BYU,FBS Independents,Washington,Pac-12,401012755,4010127552,false,1,89,12,1,80,11,4,1,18,3,9,PUNT
Washington,Pac-12,BYU,FBS Independents,401012755,4010127553,true,1,32,11,1,100,7,19,3,45,8,68,TD
BYU,FBS Independents,Washington,Pac-12,401012755,4010127554,false,1,84,7,2,28,13,42,8,37,13,56,MISSED FG
Washington,Pac-12,BYU,FBS Independents,401012755,4010127555,true,2,28,13,2,100,11,5,2,37,6,72,TD
BYU,FBS Independents,Washington,Pac-12,401012755,4010127556,false,2,75,11,2,52,7,54,3,11,5,23,PUNT
Washington,Pac-12,BYU,FBS Independents,401012755,4010127557,false,2,20,7,2,78,1,28,6,26,13,58,MISSED FG
BYU,FBS Independents,Washington,Pac-12,401012755,4010127558,false,2,78,1,2,83,,22,1,6,3,2,FUMBLE
Washington,Pac-12,BYU,FBS Independents,401012755,4010127559,true,2,76,,2,100,,5,,17,3,24,TD
Washington State,Pac-12,Utah,Pac-12,401012756,4010127561,false,1,25,15,1,83,15,,,,6,58,INT
Utah,Pac-12,Washington State,Pac-12,401012756,4010127562,true,1,75,15,1,0,8,22,6,38,10,75,TD
Washington State,Pac-12,Utah,Pac-12,401012756,4010127563,true,1,25,8,1,100,5,7,3,15,8,75,TD
Utah,Pac-12,Washington State,Pac-12,401012756,4010127564,true,1,65,5,1,0,1,7,4,,10,65,TD
Washington State,Pac-12,Utah,Pac-12,401012756,4010127565,true,1,0,1,2,100,11,47,4,20,12,75,TD
Utah,Pac-12,Washington State,Pac-12,401012756,4010127566,false,2,75,11,2,76,10,,1,47,3,-1,PUNT
Washington State,Pac-12,Utah,Pac-12,401012756,4010127567,true,2,35,10,2,100,9,3,,57,2,65,TD
Utah,Pac-12,Washington State,Pac-12,401012756,4010127568,true,2,75,9,2,0,5,55,3,8,7,75,TD
Washington State,Pac-12,Utah,Pac-12,401012756,4010127569,false,2,18,5,2,43,3,55,2,,6,25,PUNT
California,Pac-12,Oregon,Pac-12,401012757,4010127571,true,1,20,15,1,92,7,31,7,29,15,72,FG
Oregon,Pac-12,California,Pac-12,401012757,4010127572,true,1,74,7,1,0,4,13,3,18,8,74,TD
California,Pac-12,Oregon,Pac-12,401012757,4010127573,false,1,22,4,1,22,3,59,,14,1,0,INT
Oregon,Pac-12,California,Pac-12,401012757,4010127574,false,1,63,3,2,39,14,48,4,11,9,24,PUNT
California,Pac-12,Oregon,Pac-12,401012757,4010127575,true,2,10,14,2,100,9,32,5,16,11,90,TD
Oregon,Pac-12,California,Pac-12,401012757,4010127576,true,2,75,9,2,0,5,44,3,48,8,75,TD
California,Pac-12,Oregon,Pac-12,401012757,4010127577,false,2,32,5,2,40,3,58,1,46,3,8,PUNT
Oregon,Pac-12,California,Pac-12,401012757,4010127578,true,2,81,3,2,0,2,47,1,11,4,81,TD
California,Pac-12,Oregon,Pac-12,401012757,4010127579,false,2,21,2,2,17,2,11,,36,3,-4,PUNT
Stanford,Pac-12,Notre Dame,FBS Independents,401012758,4010127581,false,1,75,15,1,75,13,23,1,37,3,0,PUNT
Notre Dame,FBS Independents,Stanford,Pac-12,401012758,4010127582,false,1,33,13,1,53,12,2,1,21,5,20,DOWNS
Stanford,Pac-12,Notre Dame,FBS Independents,401012758,4010127583,false,1,53,12,1,45,10,33,1,29,3,8,PUNT
Notre Dame,FBS Independents,Stanford,Pac-12,401012758,4010127584,true,1,15,10,1,100,8,13,2,20,7,85,TD
Stanford,Pac-12,Notre Dame,FBS Independents,401012758,4010127585,true,1,75,8,1,0,4,39,3,34,7,75,TD
Notre Dame,FBS Independents,Stanford,Pac-12,401012758,4010127586,true,1,18,4,1,100,,9,4,30,11,77,TD
Stanford,Pac-12,Notre Dame,FBS Independents,401012758,4010127587,true,1,84,,2,0,10,36,4,33,8,84,TD
Notre Dame,FBS Independents,Stanford,Pac-12,401012758,4010127588,false,2,25,10,2,37,7,31,3,5,6,12,PUNT
Stanford,Pac-12,Notre Dame,FBS Independents,401012758,4010127589,false,2,90,7,2,86,5,52,1,39,3,4,PUNT
Rutgers,Big Ten,Indiana,Big Ten,401012824,4010128241,true,1,25,15,1,100,10,46,4,14,10,75,TD
Indiana,Big Ten,Rutgers,Big Ten,401012824,4010128242,true,1,75,10,1,0,7,27,3,19,10,75,TD
Rutgers,Big Ten,Indiana,Big Ten,401012824,4010128243,false,1,28,7,1,46,6,5,1,22,4,18,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401012824,4010128244,true,1,88,6,2,0,14,56,6,9,16,88,TD
Rutgers,Big Ten,Indiana,Big Ten,401012824,4010128245,false,2,25,14,2,27,13,33,1,23,3,2,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401012824,4010128246,true,2,68,13,2,0,9,12,4,21,10,68,TD
Rutgers,Big Ten,Indiana,Big Ten,401012824,4010128247,false,2,30,9,2,86,4,15,4,57,10,56,INT
Indiana,Big Ten,Rutgers,Big Ten,401012824,4010128248,true,2,80,4,2,26,,14,4,1,11,54,FG
Rutgers,Big Ten,Indiana,Big Ten,401012824,4010128249,false,2,21,,2,19,,,,14,1,-2,END OF HALF
Central Michigan,Mid-American,Michigan State,Big Ten,401012881,4010128811,true,1,65,15,1,22,13,2,1,58,5,43,FG
Michigan State,Big Ten,Central Michigan,Mid-American,401012881,4010128812,false,1,46,13,1,62,9,58,3,4,5,16,PUNT
Central Michigan,Mid-American,Michigan State,Big Ten,401012881,4010128813,false,1,86,9,1,80,8,44,1,14,3,6,PUNT
Michigan State,Big Ten,Central Michigan,Mid-American,401012881,4010128814,false,1,37,8,1,92,3,39,5,5,9,55,INT
Central Michigan,Mid-American,Michigan State,Big Ten,401012881,4010128815,false,1,80,3,1,71,1,49,1,50,3,9,PUNT
Michigan State,Big Ten,Central Michigan,Mid-American,401012881,4010128816,false,1,22,1,1,42,,,1,49,4,20,PUNT
Central Michigan,Mid-American,Michigan State,Big Ten,401012881,4010128817,false,2,82,14,2,52,13,,1,48,6,30,INT
Michigan State,Big Ten,Central Michigan,Mid-American,401012881,4010128818,true,2,65,13,2,100,10,50,2,10,4,35,TD
Central Michigan,Mid-American,Michigan State,Big Ten,401012881,4010128819,false,2,77,10,2,66,,,10,50,4,11,PUNT
Michigan,Big Ten,Northwestern,Big Ten,401012892,4010128921,false,1,83,15,1,84,12,41,2,19,3,-1,PUNT
Northwestern,Big Ten,Michigan,Big Ten,401012892,4010128922,true,1,44,12,1,100,10,17,2,24,6,56,TD
Michigan,Big Ten,Northwestern,Big Ten,401012892,4010128923,false,1,86,10,1,85,9,4,1,13,3,1,PUNT
Northwestern,Big Ten,Michigan,Big Ten,401012892,4010128924,true,1,36,9,1,73,3,54,5,10,10,37,FG
Michigan,Big Ten,Northwestern,Big Ten,401012892,4010128925,false,1,69,3,1,48,1,21,2,33,6,21,DOWNS
Northwestern,Big Ten,Michigan,Big Ten,401012892,4010128926,true,1,48,1,2,100,12,49,3,25,9,52,TD
Michigan,Big Ten,Northwestern,Big Ten,401012892,4010128927,true,2,79,12,2,0,9,14,3,35,7,79,TD
Northwestern,Big Ten,Michigan,Big Ten,401012892,4010128928,false,2,25,9,2,36,5,5,4,9,8,11,PUNT
Michigan,Big Ten,Northwestern,Big Ten,401012892,4010128929,false,2,88,5,2,46,2,15,2,50,4,42,PUNT
Oklahoma,Big 12,Baylor,Big 12,401013030,4010130301,false,1,25,15,1,40,13,44,1,16,4,15,FUMBLE
Oklahoma,Big 12,Baylor,Big 12,401013030,4010130302,true,1,90,13,1,100,12,58,,46,2,10,TD
Baylor,Big 12,Oklahoma,Big 12,401013030,4010130303,false,1,75,12,1,87,10,20,2,38,3,-12,PUNT
Oklahoma,Big 12,Baylor,Big 12,401013030,4010130304,true,1,43,10,1,100,8,38,1,42,5,57,TD
Baylor,Big 12,Oklahoma,Big 12,401013030,4010130305,true,1,75,8,1,0,2,42,5,56,12,75,TD
Oklahoma,Big 12,Baylor,Big 12,401013030,4010130306,false,1,23,2,1,29,,33,2,9,3,6,PUNT
Baylor,Big 12,Oklahoma,Big 12,401013030,4010130307,false,1,79,,2,72,13,9,2,24,5,7,PUNT
Oklahoma,Big 12,Baylor,Big 12,401013030,4010130308,true,2,34,13,2,100,10,51,2,18,5,66,TD
Baylor,Big 12,Oklahoma,Big 12,401013030,4010130309,false,2,75,10,2,49,8,35,2,16,5,26,PUNT
TCU,Big 12,Iowa State,Big 12,401013041,4010130411,false,1,24,15,1,43,11,46,3,14,8,19,PUNT
Iowa State,Big 12,TCU,Big 12,401013041,4010130412,false,1,60,11,1,43,9,51,1,55,7,17,DOWNS
TCU,Big 12,Iowa State,Big 12,401013041,4010130413,false,1,43,9,1,50,8,35,1,16,3,7,PUNT
Iowa State,Big 12,TCU,Big 12,401013041,4010130414,false,1,80,8,1,44,4,53,3,42,8,36,PUNT
TCU,Big 12,Iowa State,Big 12,401013041,4010130415,false,1,10,4,2,22,14,15,5,38,10,12,FUMBLE
Iowa State,Big 12,TCU,Big 12,401013041,4010130416,true,2,22,14,2,0,12,4,2,11,4,22,TD
TCU,Big 12,Iowa State,Big 12,401013041,4010130417,true,2,17,12,2,100,7,35,4,29,10,83,TD
Iowa State,Big 12,TCU,Big 12,401013041,4010130418,false,2,75,7,2,44,5,25,2,10,4,31,PUNT
TCU,Big 12,Iowa State,Big 12,401013041,4010130419,false,2,15,5,2,62,,,5,25,10,47,PUNT
Oklahoma State,Big 12,Kansas,Big 12,401013050,4010130501,true,1,75,15,1,0,10,21,4,39,9,75,TD
Kansas,Big 12,Oklahoma State,Big 12,401013050,4010130502,false,1,25,10,1,65,6,49,3,32,9,40,MISSED FG
Oklahoma State,Big 12,Kansas,Big 12,401013050,4010130503,true,1,65,6,1,0,3,7,3,42,7,65,TD
Kansas,Big 12,Oklahoma State,Big 12,401013050,4010130504,true,1,35,3,2,100,14,45,3,13,7,65,TD
Oklahoma State,Big 12,Kansas,Big 12,401013050,4010130505,true,2,92,14,2,0,13,34,1,11,4,92,TD
Kansas,Big 12,Oklahoma State,Big 12,401013050,4010130506,false,2,25,13,2,24,11,29,2,5,3,-1,PUNT
Oklahoma State,Big 12,Kansas,Big 12,401013050,4010130507,true,2,61,11,2,16,7,5,4,24,9,45,FG
Kansas,Big 12,Oklahoma State,Big 12,401013050,4010130508,false,2,25,7,2,35,5,40,1,25,4,10,PUNT
Oklahoma State,Big 12,Kansas,Big 12,401013050,4010130509,false,2,63,5,2,58,,,5,40,3,5,PUNT
Texas,Big 12,Kansas State,Big 12,401013060,4010130601,false,1,88,15,1,51,10,36,4,24,11,37,PUNT
Kansas State,Big 12,Texas,Big 12,401013060,4010130602,true,1,7,10,1,35,5,25,5,11,8,28,PUNT RETURN TD
Kansas State,Big 12,Texas,Big 12,401013060,4010130604,false,1,22,5,1,45,3,14,2,5,5,23,PUNT
Texas,Big 12,Kansas State,Big 12,401013060,4010130605,true,1,89,3,2,0,13,56,4,11,11,89,TD
Kansas State,Big 12,Texas,Big 12,401013060,4010130606,true,2,9,13,2,0,12,51,1,5,3,-9,SF
Texas,Big 12,Kansas State,Big 12,401013060,4010130607,true,2,64,12,2,11,7,5,5,46,13,53,FG
Kansas State,Big 12,Texas,Big 12,401013060,4010130608,false,2,23,7,2,55,4,29,2,36,6,32,PUNT
Texas,Big 12,Kansas State,Big 12,401013060,4010130609,false,2,80,4,2,93,2,44,1,45,3,-13,PUNT
Temple,American Athletic,Boston College,ACC,401013130,4010131301,false,1,69,15,1,36,11,49,3,11,9,33,DOWNS
Boston College,ACC,Temple,American Athletic,401013130,4010131302,true,1,36,11,1,100,8,16,3,33,12,64,TD
Temple,American Athletic,Boston College,ACC,401013130,4010131303,true,1,75,8,1,0,7,58,,18,2,75,TD
Boston College,ACC,Temple,American Athletic,401013130,4010131304,true,1,25,7,1,19,7,39,,19,0,-6,FUMBLE TD
Boston College,ACC,Temple,American Athletic,401013130,4010131306,true,1,15,7,1,100,4,8,3,31,11,85,TD
Temple,American Athletic,Boston College,ACC,401013130,4010131307,false,1,82,4,1,78,3,11,,57,3,4,PUNT
Boston College,ACC,Temple,American Athletic,401013130,4010131308,false,1,37,3,2,60,14,52,3,19,9,23,PUNT
