offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Arkansas,SEC,Tulsa,American Athletic,401012313,4010123131,false,1,25,15,1,36,12,38,2,22,5,11,INT
Tulsa,American Athletic,Arkansas,SEC,401012313,4010123132,false,1,23,12,1,12,10,3,2,35,7,11,MISSED FG
Arkansas,SEC,Tulsa,American Athletic,401012313,4010123133,false,1,20,10,1,49,6,3,4,,8,29,PUNT
Tulsa,American Athletic,Arkansas,SEC,401012313,4010123134,false,1,85,6,1,25,3,34,2,29,7,60,MISSED FG
Arkansas,SEC,Tulsa,American Athletic,401012313,4010123135,true,1,25,3,2,85,14,14,4,20,9,60,FG
Tulsa,American Athletic,Arkansas,SEC,401012313,4010123136,false,2,75,14,2,60,12,27,1,47,5,15,PUNT
Arkansas,SEC,Tulsa,American Athletic,401012313,4010123137,false,2,44,12,2,49,11,1,1,26,3,5,PUNT
Tulsa,American Athletic,Arkansas,SEC,401012313,4010123138,false,2,90,11,2,41,8,46,2,15,8,49,DOWNS
Arkansas,SEC,Tulsa,American Athletic,401012313,4010123139,false,2,41,8,2,59,,,8,46,5,18,PUNT
Vanderbilt,SEC,Kentucky,SEC,401012314,4010123141,false,1,75,15,1,58,11,7,3,53,7,17,PUNT
Kentucky,SEC,Vanderbilt,SEC,401012314,4010123142,false,1,15,11,1,44,10,25,,42,2,29,FUMBLE
Vanderbilt,SEC,Kentucky,SEC,401012314,4010123143,true,1,44,10,1,0,6,47,3,38,6,44,TD
Kentucky,SEC,Vanderbilt,SEC,401012314,4010123144,false,1,32,6,1,40,6,10,,37,2,8,FUMBLE
Vanderbilt,SEC,Kentucky,SEC,401012314,4010123145,false,1,40,6,1,38,5,31,,39,3,2,PUNT
Kentucky,SEC,Vanderbilt,SEC,401012314,4010123146,false,1,20,5,1,25,3,22,2,9,3,5,PUNT
Vanderbilt,SEC,Kentucky,SEC,401012314,4010123147,false,1,68,3,1,60,,43,2,39,3,8,PUNT
Kentucky,SEC,Vanderbilt,SEC,401012314,4010123148,false,1,20,,2,45,14,17,1,26,4,25,PUNT
Vanderbilt,SEC,Kentucky,SEC,401012314,4010123149,false,2,92,14,2,91,11,59,2,18,3,1,PUNT
Mississippi State,SEC,LSU,SEC,401012315,4010123151,false,1,75,15,1,75,13,42,1,18,3,0,INT
LSU,SEC,Mississippi State,SEC,401012315,4010123152,true,1,97,13,1,100,12,37,1,5,3,3,TD
Mississippi State,SEC,LSU,SEC,401012315,4010123153,true,1,75,12,1,2,8,43,3,54,7,73,FG
LSU,SEC,Mississippi State,SEC,401012315,4010123154,false,1,25,8,1,34,7,31,1,12,3,9,PUNT
Mississippi State,SEC,LSU,SEC,401012315,4010123155,false,1,78,7,1,70,5,31,2,,3,8,PUNT
LSU,SEC,Mississippi State,SEC,401012315,4010123156,false,1,34,5,1,34,5,6,,25,3,0,PUNT
Mississippi State,SEC,LSU,SEC,401012315,4010123157,false,1,84,5,1,78,3,56,1,10,3,6,INT
LSU,SEC,Mississippi State,SEC,401012315,4010123158,false,1,76,3,1,89,2,6,1,50,4,13,INT
Mississippi State,SEC,LSU,SEC,401012315,4010123159,false,1,99,2,2,82,14,15,2,51,6,17,PUNT
Ole Miss,SEC,Auburn,SEC,401012316,4010123161,false,1,25,15,1,77,12,20,2,40,11,52,MISSED FG
Auburn,SEC,Ole Miss,SEC,401012316,4010123162,true,1,77,12,1,0,8,36,3,44,11,77,TD
Ole Miss,SEC,Auburn,SEC,401012316,4010123163,true,1,25,8,1,81,5,49,2,47,11,56,FG
Auburn,SEC,Ole Miss,SEC,401012316,4010123164,false,1,61,5,1,64,4,4,1,45,3,-3,PUNT
Ole Miss,SEC,Auburn,SEC,401012316,4010123165,false,1,19,4,1,24,2,50,1,14,3,5,PUNT
Auburn,SEC,Ole Miss,SEC,401012316,4010123166,false,1,70,2,1,79,1,16,1,34,3,-9,PUNT
Ole Miss,SEC,Auburn,SEC,401012316,4010123167,false,1,39,1,2,48,14,55,1,21,4,9,DOWNS
Auburn,SEC,Ole Miss,SEC,401012316,4010123168,false,2,48,14,2,29,11,38,3,17,7,19,MISSED FG
Ole Miss,SEC,Auburn,SEC,401012316,4010123169,true,2,29,11,2,80,9,16,2,22,8,51,FG
Memphis,American Athletic,Missouri,SEC,401012317,4010123171,false,1,75,15,1,63,12,52,2,8,6,12,PUNT
Missouri,SEC,Memphis,American Athletic,401012317,4010123172,true,1,73,12,1,100,11,49,1,3,3,27,TD
Memphis,American Athletic,Missouri,SEC,401012317,4010123173,true,1,89,11,1,57,9,18,2,31,6,32,INT TD
Memphis,American Athletic,Missouri,SEC,401012317,4010123175,false,1,75,9,1,74,7,52,1,26,3,1,PUNT
Missouri,SEC,Memphis,American Athletic,401012317,4010123176,true,1,24,7,1,100,5,55,1,57,5,76,TD
Memphis,American Athletic,Missouri,SEC,401012317,4010123177,true,1,75,5,1,9,2,15,3,40,13,66,FG
Missouri,SEC,Memphis,American Athletic,401012317,4010123178,false,1,25,2,1,29,1,18,,57,3,4,PUNT
Memphis,American Athletic,Missouri,SEC,401012317,4010123179,true,1,80,1,2,0,13,1,3,17,10,80,TD
Alabama,SEC,Tennessee,SEC,401012318,4010123181,true,1,58,15,1,0,10,58,4,2,9,58,TD
