offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Arkansas,SEC,Vanderbilt,SEC,401012319,4010123191,true,1,25,15,1,100,11,55,3,5,9,75,TD
Vanderbilt,SEC,Arkansas,SEC,401012319,4010123192,true,1,89,11,1,0,8,2,3,53,7,89,TD
Arkansas,SEC,Vanderbilt,SEC,401012319,4010123193,false,1,25,8,1,61,4,5,3,57,6,36,PUNT
Vanderbilt,SEC,Arkansas,SEC,401012319,4010123194,false,1,80,4,1,84,2,23,1,42,3,-4,PUNT
Arkansas,SEC,Vanderbilt,SEC,401012319,4010123195,false,1,39,2,1,40,1,25,,58,3,1,INT
Vanderbilt,SEC,Arkansas,SEC,401012319,4010123196,true,1,42,1,2,0,13,46,2,39,6,42,TD
Arkansas,SEC,Vanderbilt,SEC,401012319,4010123197,false,2,16,13,2,16,12,3,1,43,3,0,PUNT
Vanderbilt,SEC,Arkansas,SEC,401012319,4010123198,false,2,44,12,2,40,10,30,1,33,3,4,PUNT
Arkansas,SEC,Vanderbilt,SEC,401012319,4010123199,true,2,8,10,2,100,6,45,3,45,8,92,TD
Georgia,SEC,Florida,SEC,401012320,4010123201,true,1,25,15,1,96,8,11,6,49,12,71,FG
Florida,SEC,Georgia,SEC,401012320,4010123202,false,1,75,8,1,67,7,24,,47,3,20,FUMBLE
Georgia,SEC,Florida,SEC,401012320,4010123203,true,1,87,7,1,100,6,7,1,17,3,13,TD
Florida,SEC,Georgia,SEC,401012320,4010123204,false,1,75,6,1,41,3,34,2,33,6,34,INT
Georgia,SEC,Florida,SEC,401012320,4010123205,false,1,29,3,1,35,2,1,1,33,3,6,PUNT
Florida,SEC,Georgia,SEC,401012320,4010123206,true,1,76,2,2,0,9,57,7,4,14,76,TD
Georgia,SEC,Florida,SEC,401012320,4010123207,false,2,30,9,2,31,9,6,,51,3,1,PUNT
Florida,SEC,Georgia,SEC,401012320,4010123208,false,2,69,9,2,51,5,47,3,19,6,18,PUNT
Georgia,SEC,Florida,SEC,401012320,4010123209,false,2,11,5,2,20,3,59,1,48,3,9,PUNT
Texas A&M,SEC,Mississippi State,SEC,401012321,4010123211,false,1,75,15,1,76,13,57,1,3,3,-1,PUNT
Mississippi State,SEC,Texas A&M,SEC,401012321,4010123212,true,1,21,13,1,100,7,19,6,38,12,79,TD
Texas A&M,SEC,Mississippi State,SEC,401012321,4010123213,false,1,75,7,1,32,1,57,5,22,10,43,MISSED FG
Mississippi State,SEC,Texas A&M,SEC,401012321,4010123214,false,1,32,1,1,58,,9,1,48,4,26,PUNT
Texas A&M,SEC,Mississippi State,SEC,401012321,4010123215,false,1,99,,2,57,12,40,2,29,7,42,PUNT
Mississippi State,SEC,Texas A&M,SEC,401012321,4010123216,false,2,26,12,2,29,10,10,2,30,5,3,PUNT
Texas A&M,SEC,Mississippi State,SEC,401012321,4010123217,true,2,57,10,2,16,4,42,5,28,9,41,FG
Mississippi State,SEC,Texas A&M,SEC,401012321,4010123218,false,2,25,4,2,64,,48,3,54,7,39,DOWNS
Texas A&M,SEC,Mississippi State,SEC,401012321,4010123219,true,2,64,,2,0,,14,,34,4,64,TD
Kentucky,SEC,Missouri,SEC,401012322,4010123221,true,1,75,15,1,13,11,12,3,48,7,62,FG
Missouri,SEC,Kentucky,SEC,401012322,4010123222,false,1,25,11,1,75,7,21,3,51,10,50,MISSED FG
Kentucky,SEC,Missouri,SEC,401012322,4010123223,false,1,59,7,1,27,3,1,4,20,8,32,DOWNS
Missouri,SEC,Kentucky,SEC,401012322,4010123224,true,1,27,3,2,100,14,1,4,,10,73,TD
Kentucky,SEC,Missouri,SEC,401012322,4010123225,false,2,75,14,2,45,11,8,2,53,7,30,PUNT
Missouri,SEC,Kentucky,SEC,401012322,4010123226,false,2,5,11,2,40,7,24,3,44,9,35,PUNT
Kentucky,SEC,Missouri,SEC,401012322,4010123227,false,2,83,7,2,49,4,4,3,20,7,34,DOWNS
Missouri,SEC,Kentucky,SEC,401012322,4010123228,true,2,49,4,2,100,,49,3,15,10,51,TD
