offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Ole Miss,SEC,Mississippi State,SEC,401012349,4010123491,false,1,25,15,1,44,12,38,2,22,6,19,PUNT
Mississippi State,SEC,Ole Miss,SEC,401012349,4010123492,false,1,86,12,1,50,9,18,3,20,6,36,PUNT
Ole Miss,SEC,Mississippi State,SEC,401012349,4010123493,false,1,18,9,1,30,8,4,1,14,4,12,FUMBLE
Mississippi State,SEC,Ole Miss,SEC,401012349,4010123494,true,1,30,8,1,0,5,2,3,2,7,30,TD
Ole Miss,SEC,Mississippi State,SEC,401012349,4010123495,false,1,22,5,1,54,2,34,2,28,4,32,PUNT
Mississippi State,SEC,Ole Miss,SEC,401012349,4010123496,true,1,86,2,2,0,14,4,3,30,8,86,TD
Ole Miss,SEC,Mississippi State,SEC,401012349,4010123497,false,2,25,14,2,40,12,3,2,1,4,15,PUNT
Mississippi State,SEC,Ole Miss,SEC,401012349,4010123498,false,2,75,12,2,70,10,40,1,23,3,5,PUNT
Ole Miss,SEC,Mississippi State,SEC,401012349,4010123499,true,2,34,10,2,85,6,46,3,54,10,51,FG
Auburn,SEC,Alabama,SEC,401012350,4010123501,false,1,75,15,1,75,14,39,,21,3,0,PUNT
Alabama,SEC,Auburn,SEC,401012350,4010123502,false,1,13,14,1,50,11,56,2,43,7,37,PUNT
Auburn,SEC,Alabama,SEC,401012350,4010123503,false,1,88,11,1,91,8,40,3,16,7,-3,PUNT
Alabama,SEC,Auburn,SEC,401012350,4010123504,true,1,66,8,1,100,6,38,2,2,5,34,TD
Auburn,SEC,Alabama,SEC,401012350,4010123505,true,1,73,6,1,0,2,37,4,1,10,73,TD
Alabama,SEC,Auburn,SEC,401012350,4010123506,true,1,35,2,2,100,14,15,3,22,8,65,TD
Auburn,SEC,Alabama,SEC,401012350,4010123507,false,2,75,14,2,82,13,17,,58,3,-7,PUNT
Alabama,SEC,Auburn,SEC,401012350,4010123508,true,2,32,13,2,89,8,59,4,18,11,57,FG
Auburn,SEC,Alabama,SEC,401012350,4010123509,false,2,75,8,2,54,6,42,2,17,5,21,PUNT
Florida State,ACC,Florida,SEC,401012351,4010123511,false,1,25,15,1,84,13,26,1,34,3,-9,PUNT
Florida,SEC,Florida State,ACC,401012351,4010123512,false,1,67,13,1,59,12,14,1,12,3,8,PUNT
Florida State,ACC,Florida,SEC,401012351,4010123513,false,1,5,12,1,96,10,36,1,38,3,-1,PUNT
Florida,SEC,Florida State,ACC,401012351,4010123514,false,1,36,10,1,2,7,31,3,5,9,34,DOWNS
Florida State,ACC,Florida,SEC,401012351,4010123515,false,1,2,7,1,67,3,47,3,44,8,31,PUNT
Florida,SEC,Florida State,ACC,401012351,4010123516,true,1,76,3,1,10,,,3,47,9,66,FG
Florida State,ACC,Florida,SEC,401012351,4010123517,false,2,9,15,2,82,13,34,1,26,3,9,PUNT
Florida,SEC,Florida State,ACC,401012351,4010123518,true,2,74,13,2,0,13,24,,10,1,74,TD
Florida State,ACC,Florida,SEC,401012351,4010123519,false,2,25,13,2,75,11,43,1,41,3,0,PUNT
Georgia,SEC,Georgia Tech,ACC,401012352,4010123521,true,1,25,15,1,100,10,23,4,37,9,75,TD
Georgia Tech,ACC,Georgia,SEC,401012352,4010123522,false,1,65,10,1,50,6,58,3,25,6,15,PUNT
Georgia,SEC,Georgia Tech,ACC,401012352,4010123523,true,1,12,6,1,100,,51,6,7,11,88,TD
Georgia Tech,ACC,Georgia,SEC,401012352,4010123524,true,1,0,,1,0,,32,,19,0,0,TD
Georgia,SEC,Georgia Tech,ACC,401012352,4010123525,true,1,37,,2,100,12,56,2,36,6,63,TD
Georgia Tech,ACC,Georgia,SEC,401012352,4010123526,false,2,75,12,2,52,9,30,3,26,6,19,DOWNS
Georgia,SEC,Georgia Tech,ACC,401012352,4010123527,true,2,56,9,2,100,9,22,,8,1,44,TD
Georgia Tech,ACC,Georgia,SEC,401012352,4010123528,false,2,68,9,2,81,7,11,2,11,4,-6,PUNT
Georgia,SEC,Georgia Tech,ACC,401012352,4010123529,true,2,67,7,2,100,5,,2,11,5,33,TD
Louisville,ACC,Kentucky,SEC,401012353,4010123531,false,1,21,15,1,18,13,8,1,52,3,-3,PUNT
Kentucky,SEC,Louisville,ACC,401012353,4010123532,true,1,53,13,1,0,9,3,4,5,8,53,TD
Louisville,ACC,Kentucky,SEC,401012353,4010123533,false,1,25,9,1,51,6,21,2,42,5,26,PUNT
