id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text
401012331101895901,Alabama,SEC,Mississippi State,SEC,7,0,4010123311,1,10,40,99,1,1,1,Rushing Touchdown,Damien Harris run for 1 yd for a TD (Joseph Bulovas KICK)
401012331101894901,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,10,50,74,1,10,25,Pass Reception,Tua Tagovailoa pass complete to Irv Smith Jr. for 25 yds to the MisSt 1 for a 1ST down
401012331101887401,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,11,25,69,2,3,5,Rush,Damien Harris run for 5 yds to the MisSt 26 for a 1ST down
401012331101884401,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,11,55,62,1,10,7,Rush,Damien Harris run for 7 yds to the MisSt 31
401012331101876401,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,12,35,52,3,1,10,Rush,Josh Jacobs run for 10 yds to the MisSt 38 for a 1ST down
401012331101867901,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,13,20,47,2,6,5,Pass Reception,Tua Tagovailoa pass complete to Jerry Jeudy for 5 yds to the MisSt 48
401012331101865901,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,13,40,43,1,10,4,Rush,Damien Harris run for 4 yds to the Alab 47
401012331101858701,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,14,12,31,2,6,12,Rush,Damien Harris run for 12 yds to the Alab 43 for a 1ST down
401012331101855201,Alabama,SEC,Mississippi State,SEC,0,0,4010123311,1,14,47,27,1,10,4,Rush,Tua Tagovailoa run for 4 yds to the Alab 31
401012331101849902,Mississippi State,SEC,Alabama,SEC,0,0,4010123311,1,15,,65,1,10,27,Kickoff,"Scott Goodman kickoff for 65 yds , Josh Jacobs return for 27 yds to the Alab 27"
401012331101915701,Mississippi State,SEC,Alabama,SEC,0,7,4010123312,1,8,42,68,4,3,0,Punt,"Tucker Day punt for 51 yds, fair catch by Jaylen Waddle at the Alab 17"
401012331101907901,Mississippi State,SEC,Alabama,SEC,0,7,4010123312,1,9,20,66,3,1,-2,Rush,Kylin Hill run for a loss of 2 yards to the MisSt 32
401012331101899901,Mississippi State,SEC,Alabama,SEC,0,7,4010123312,1,10,,74,2,9,8,Pass Reception,Nick Fitzgerald pass complete to Osirus Mitchell for 8 yds to the MisSt 34
401012331101896601,Mississippi State,SEC,Alabama,SEC,0,7,4010123312,1,10,33,75,1,10,1,Rush,Nick Fitzgerald run for 1 yd to the MisSt 26
401012331101895903,Alabama,SEC,Mississippi State,SEC,7,0,4010123312,1,10,40,35,1,10,0,Kickoff,Joseph Bulovas kickoff for 55 yds for a touchback
401012331101975101,Alabama,SEC,Mississippi State,SEC,14,0,4010123313,1,2,48,99,2,1,1,Rushing Touchdown,Josh Jacobs run for 1 yd for a TD (Joseph Bulovas KICK)
401012331101967601,Alabama,SEC,Mississippi State,SEC,7,0,4010123313,1,3,23,98,1,2,1,Rush,Josh Jacobs run for 1 yd to the MisSt 1
401012331101966601,Alabama,SEC,Mississippi State,SEC,7,0,4010123313,1,3,33,88,1,10,10,Rush,Josh Jacobs run for 10 yds to the MisSt 2 for a 1ST down
