id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text
401032054101854801,Utah State,Mountain West,North Texas,Conference USA,0,0,4010320541,1,14,51,75,1,10,3,Pass Reception,Jordan Love pass complete to Jalen Greene for 3 yds to the UthSt 28
401032054101849902,North Texas,Conference USA,Utah State,Mountain West,0,0,4010320541,1,15,,35,1,10,0,Kickoff,Ethan Mooney kickoff for 65 yds for a touchback
401032054101857901,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320541,1,14,20,72,3,7,72,Passing Touchdown,Jordan Love pass complete to Aaren Vaughns for 72 yds for a TD (Dominik Eberle KICK)
401032054101856901,Utah State,Mountain West,North Texas,Conference USA,0,0,4010320541,1,14,30,72,2,7,0,Pass Incompletion,Jordan Love pass incomplete to Jalen Greene
401032054101859501,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320542,1,14,4,25,2,10,0,Pass Incompletion,Mason Fine pass incomplete to Caleb Chumley
401032054101858401,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320542,1,14,15,25,1,10,0,Pass Incompletion,Mason Fine pass incomplete to Cudjoe Young
401032054101857903,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320542,1,14,20,65,3,7,0,Kickoff,Dominik Eberle kickoff for 65 yds for a touchback
401032054101868201,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320542,1,13,17,29,4,6,21,Blocked Punt,TEAM punt blocked by Jacoby Wildman blocked by Jacoby Wildman
401032054101866401,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320542,1,13,35,25,3,10,4,Pass Reception,Mason Fine pass complete to DeAndre Torrey for 4 yds to the NoTex 29
401032054101869901,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320543,1,13,,50,1,10,5,Pass Reception,Jordan Love pass complete to Dax Raymond for 5 yds to the NoTex 45
401032054101879501,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320543,1,12,4,44,4,4,0,Punt,Taylor Hintze punt for 37 yds
401032054101876901,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320543,1,12,30,44,3,4,0,Pass Incompletion,Jordan Love pass incomplete
401032054101875301,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320543,1,12,46,45,2,5,1,Rush,Darwin Thompson run for 1 yd to the NoTex 44
401032054101886701,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320544,1,11,32,9,2,8,11,Pass Reception,Mason Fine pass complete to Jalen Guyton for 11 yds to the NoTex 20 for a 1ST down
401032054101884901,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320544,1,11,50,7,1,10,2,Rush,DeAndre Torrey run for 2 yds to the NoTex 9
401032054101888401,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320544,1,11,15,20,1,10,6,Rush,DeAndre Torrey run for 6 yds to the NoTex 26
401032054101894801,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320544,1,10,51,26,2,4,3,Pass Reception,Mason Fine pass complete to Deion Hair-Griffin for 3 yds to the NoTex 29
401032054101897201,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320544,1,10,27,29,3,1,0,Rush,DeAndre Torrey run for no gain to the NoTex 29
401032054101907601,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320544,1,9,23,29,4,1,0,Punt,"Alvin Kenworthy punt for 47 yds, fair catch by Jordan Nathan at the UthSt 24"
401032054101909101,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320545,1,9,8,76,1,10,19,Rush,Gerold Bright run for 19 yds to the UthSt 43 for a 1ST down
401032054101926301,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320545,1,7,36,66,4,19,0,Punt,"Taylor Hintze punt for 44 yds , Keegan Brewer returns for no gain to the NoTex 22"
401032054101919401,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320545,1,8,5,64,3,17,-2,Pass Reception,Jordan Love pass complete to Gerold Bright for a loss of 2 yards to the UthSt 34
401032054101915801,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320545,1,8,41,59,3,12,-5,Penalty,"UTAH ST Penalty, False Start (Sean Taylor) to the UthSt 36"
401032054101914701,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320545,1,8,52,57,2,10,-2,Rush,Gerold Bright run for a loss of 2 yards to the UthSt 41
401032054101909401,Utah State,Mountain West,North Texas,Conference USA,7,0,4010320545,1,9,5,57,1,10,0,Pass Incompletion,Jordan Love pass incomplete to Carson Terrell
401032054101964401,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,3,55,81,2,6,8,Pass Reception,Mason Fine pass complete to Jalen Guyton for 8 yds to the UthSt 11 for a 1ST down
401032054101974701,North Texas,Conference USA,Utah State,Mountain West,7,7,4010320546,1,2,52,98,2,1,2,Rushing Touchdown,DeAndre Torrey run for 2 yds for a TD (Cole Hedlund KICK)
401032054101968101,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,3,18,89,1,10,9,Pass Reception,Mason Fine pass complete to Kelvin Smith for 9 yds to the UthSt 2
401032054101957301,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,4,26,77,1,10,4,Pass Reception,Mason Fine pass complete to Cudjoe Young for 4 yds to the UthSt 19
401032054101956101,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,4,38,62,2,7,15,Penalty,"Fine, Mason pass incomplete to Smith, Kelvin, PENALTY UTAHST roughing passer (Wade, Aaron) 15 yards to the UTAHST23, NO PLAY, 1ST DOWN NORTHTEXAS."
401032054101949902,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,5,,59,1,10,3,Rush,DeAndre Torrey run for 3 yds to the UthSt 38
401032054101948201,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,5,17,44,4,2,15,Penalty,"UTAH ST Penalty, Roughing the Kicker (Adewale Adeoye) to the UthSt 41 for a 1ST down"
401032054101944801,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,5,51,35,3,11,9,Rush,Mason Fine run for 9 yds to the NoTex 44
401032054101938901,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,6,10,35,2,11,0,Pass Incompletion,Mason Fine pass incomplete to Caleb Chumley
401032054101935501,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,6,44,36,1,10,-1,Rush,DeAndre Torrey run for a loss of 1 yard to the NoTex 35
401032054101928301,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,7,16,22,2,10,14,Pass Reception,Mason Fine pass complete to Quinetin Jackson for 14 yds to the NoTex 36 for a 1ST down
401032054101927101,North Texas,Conference USA,Utah State,Mountain West,0,7,4010320546,1,7,28,22,1,10,0,Pass Incompletion,Mason Fine pass incomplete to DeAndre Torrey
401032054101984001,Utah State,Mountain West,North Texas,Conference USA,14,7,4010320547,1,1,59,26,2,10,26,Rushing Touchdown,Gerold Bright run for 26 yds for a TD (Dominik Eberle KICK)
401032054101979301,Utah State,Mountain West,North Texas,Conference USA,7,7,4010320547,1,2,6,26,1,10,0,Pass Incompletion,Jordan Love pass incomplete to Jalen Greene
401032054101978301,Utah State,Mountain West,North Texas,Conference USA,7,7,4010320547,1,2,16,36,3,5,10,Rush,Gerold Bright run for 10 yds to the NoTex 26 for a 1ST down
401032054101976901,Utah State,Mountain West,North Texas,Conference USA,7,7,4010320547,1,2,30,36,2,5,0,Pass Incompletion,Jordan Love pass incomplete to Ron'quavion Tarver
401032054101976301,Utah State,Mountain West,North Texas,Conference USA,7,7,4010320547,1,2,36,41,1,10,5,Pass Reception,Jordan Love pass complete to Ron'quavion Tarver for 5 yds to the NoTex 36
401032054101975601,North Texas,Conference USA,Utah State,Mountain West,7,7,4010320547,1,2,43,35,2,1,7,Kickoff,"Ethan Mooney kickoff for 61 yds , Gerold Bright return for 7 yds to the NoTex 41 , Deven Thompkins return for 48 yds to the NoTex 41"
401032054101995201,North Texas,Conference USA,Utah State,Mountain West,7,14,4010320548,1,,47,22,3,13,17,Pass Interception Return,Quinn Shanbour pass intercepted David Woodward return for 17 yds to the NoTex 6
401032054101988401,North Texas,Conference USA,Utah State,Mountain West,7,14,4010320548,1,1,15,22,2,13,0,Rush,Quinn Shanbour run for no gain to the NoTex 22
401032054101985901,North Texas,Conference USA,Utah State,Mountain West,7,14,4010320548,1,1,40,25,1,10,-3,Fumble Recovery (Own),"Quinn Shanbour run for a loss of 3 yards to the NoTex 22 Quinn Shanbour fumbled, recovered by NoTex Quinn Shanbour"
401032054101984003,Utah State,Mountain West,North Texas,Conference USA,14,7,4010320548,1,1,59,65,2,10,0,Kickoff,Dominik Eberle kickoff for 65 yds for a touchback
401032054101995701,Utah State,Mountain West,North Texas,Conference USA,14,7,4010320549,1,,42,6,1,6,0,Pass Interception Return,"Jordan Love pass intercepted, touchback. Nate Brooks return for no gain"
401032055101869901,Fresno State,Mountain West,Arizona State,Pac-12,0,0,4010320551,1,13,,43,2,9,14,Pass Reception,Marcus McMaryion pass complete to Jamire Jordan for 14 yds to the ArzSt 43 for a 1ST down
401032055101849902,Arizona State,Pac-12,Fresno State,Mountain West,0,0,4010320551,1,15,,65,1,10,0,Kickoff,Brandon Ruiz kickoff for 65 yds for a touchback
401032055101854401,Fresno State,Mountain West,Arizona State,Pac-12,0,0,4010320551,1,14,55,25,1,10,7,Pass Reception,Marcus McMaryion pass complete to Ronnie Rivers for 7 yds to the FrsSt 32
