id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,yard_line,down,distance,yards_gained,play_type,play_text
401012272101849905,Arkansas,SEC,North Texas,Conference USA,0,0,4010122721,1,15,47,1,10,0,Rush,Devwah Whaley run for no gain to the Ark 47
401012272101849906,Arkansas,SEC,North Texas,Conference USA,0,0,4010122721,1,15,47,2,10,-2,Rush,Devwah Whaley run for a loss of 2 yards to the Ark 45
401012272101849908,Arkansas,SEC,North Texas,Conference USA,0,0,4010122721,1,15,45,4,12,0,Punt,"Blake Johnson punt for 31 yds, punt out-of-bounds at the NoTex 24"
401012272101849907,Arkansas,SEC,North Texas,Conference USA,0,0,4010122721,1,15,45,3,12,0,Pass Incompletion,"Cole Kelley pass incomplete to La'Michael Pettway, broken up by Nate Brooks"
401012272101849901,North Texas,Conference USA,Arkansas,SEC,0,0,4010122721,1,15,65,1,10,19,Kickoff,"Ethan Mooney kickoff for 64 yds , Gary Cross return for 19 yds to the Ark 20"
401012272101849902,Arkansas,SEC,North Texas,Conference USA,0,0,4010122721,1,15,0,1,10,0,Penalty,"PENALTY AR personal foul off-setting, PENALTY UNT personal foul off-setting, NO PLAY."
401012272101849903,Arkansas,SEC,North Texas,Conference USA,0,0,4010122721,1,15,20,1,10,9,Pass Reception,Cole Kelley pass complete to La'Michael Pettway for 9 yds to the Ark 29
401012272101849904,Arkansas,SEC,North Texas,Conference USA,0,0,4010122721,1,15,29,2,1,18,Rush,"Devwah Whaley run for 3 yds to the Ark 32 for a 1ST down NORTH TEXAS Penalty, face mask (15 yards) (15 Yards) to the Ark 47 for a 1ST down"
401012272101874401,North Texas,Conference USA,Arkansas,SEC,0,0,4010122722,1,12,76,1,10,-5,Penalty,"NORTH TEXAS Penalty, false start (-5 Yards) to the NoTex 19"
401012272101874404,North Texas,Conference USA,Arkansas,SEC,0,0,4010122722,1,12,72,3,6,3,Pass Reception,Mason Fine pass complete to Jaelon Darden for 3 yds to the NoTex 31
401012272101874405,North Texas,Conference USA,Arkansas,SEC,0,0,4010122722,1,12,69,4,3,0,Punt,Alvin Kenworthy punt for 46 yds
401012272101874402,North Texas,Conference USA,Arkansas,SEC,0,0,4010122722,1,12,81,1,15,1,Rush,Loren Easly run for 1 yd to the NoTex 20
401012272101874403,North Texas,Conference USA,Arkansas,SEC,0,0,4010122722,1,12,80,2,14,8,Pass Reception,Mason Fine pass complete to Rico Bussey Jr. for 8 yds to the NoTex 28
401012272101887301,Arkansas,SEC,North Texas,Conference USA,0,0,4010122723,1,11,23,1,10,-2,Pass Interception Return,Cole Kelley pass intercepted Nate Brooks return for a loss of 2 yards to the Ark 44
401012272101888004,North Texas,Conference USA,Arkansas,SEC,0,0,4010122724,1,11,20,2,10,0,Pass Incompletion,"Mason Fine pass incomplete, broken up by Bumper Pool"
401012272101888003,North Texas,Conference USA,Arkansas,SEC,0,0,4010122724,1,11,20,1,10,0,Pass Reception,Mason Fine pass complete to Kelvin Smith for no gain to the Ark 20
401012272101888002,North Texas,Conference USA,Arkansas,SEC,0,0,4010122724,1,11,44,2,10,24,Rush,Loren Easly run for 24 yds to the Ark 20 for a 1ST down
401012272101888001,North Texas,Conference USA,Arkansas,SEC,0,0,4010122724,1,11,44,1,10,0,Pass Incompletion,Mason Fine pass incomplete to Rico Bussey Jr.
401012272101906301,North Texas,Conference USA,Arkansas,SEC,7,0,4010122724,1,9,2,1,2,2,Rushing Touchdown,Mason Fine run for 2 yds for a TD (Cole Hedlund KICK)
401012272101888007,North Texas,Conference USA,Arkansas,SEC,0,0,4010122724,1,11,8,2,8,6,Penalty,"Mason Fine pass incomplete to M. Lawrence, PENALTY AR pass interference (Santos Ramirez) 6 yards to the AR2, 1ST DOWN UNT, NO PLAY."
401012272101888006,North Texas,Conference USA,Arkansas,SEC,0,0,4010122724,1,11,8,1,8,0,Pass Incompletion,Mason Fine pass incomplete to Rico Bussey Jr.
401012272101888005,North Texas,Conference USA,Arkansas,SEC,0,0,4010122724,1,11,20,3,10,12,Pass Reception,Mason Fine pass complete to Michael Lawrence for 12 yds to the Ark 8 for a 1ST down
401012272101906303,North Texas,Conference USA,Arkansas,SEC,7,0,4010122725,1,9,65,1,0,20,Kickoff,"Ethan Mooney kickoff for 63 yds , Gary Cross return for 20 yds to the Ark 22"
401012272101906306,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,51,1,10,-1,Rush,Devwah Whaley run for a loss of 1 yard to the 50 yard line
401012272101906305,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,35,1,10,16,Pass Reception,Cole Kelley pass complete to La'Michael Pettway for 16 yds to the NoTex 49 for a 1ST down
401012272101906304,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,22,1,10,13,Pass Reception,Cole Kelley pass complete to Jordan Jones for 13 yds to the Ark 35 for a 1ST down
401012272101935001,Arkansas,SEC,North Texas,Conference USA,0,14,4010122725,1,6,63,4,10,90,Punt,"Blake Johnson punt for 27 yds , Keegan Brewer returns for 90 yds for a TD (Cole Hedlund KICK)"
401012272101906311,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,63,3,10,0,Pass Incompletion,"Cole Kelley pass incomplete to La'Michael Pettway, broken up by Kemon Hall"
401012272101906310,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,63,2,10,0,Pass Incompletion,Cole Kelley pass incomplete to Michael Woods
401012272101906309,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,63,1,10,0,Pass Incompletion,Cole Kelley pass incomplete to Jordan Jones
401012272101906308,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,59,3,2,4,Rush,Cole Kelley run for 4 yds to the NoTex 37 for a 1ST down
401012272101906307,Arkansas,SEC,North Texas,Conference USA,0,7,4010122725,1,9,50,2,11,9,Pass Reception,Cole Kelley pass complete to La'Michael Pettway for 9 yds to the NoTex 41
