id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text
401013027104987001,Baylor,Big 12,UT San Antonio,Conference USA,37,20,40101302722,4,1,29,1,1,1,1,Rushing Touchdown,JaMycal Hasty run for 1 yd for a TD (Connor Martin KICK)
401013027104984302,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,1,56,1,2,1,0,Penalty,"Hurd,Jalen rush up middle for no gain to the UTSA1 (CARTER-MCLIN, J), PENALTY UTSA face mask (CARTER-MCLIN, J) 0 yards to the UTSA1, 1ST DOWN BU, NO PLAY."
401013027104964304,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,3,56,1,1,1,0,Rush,John Lovett run for no gain to the TexSA 1
401013027104964303,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,3,56,30,1,10,29,Pass Reception,Charlie Brewer pass complete to Chris Platt for 29 yds to the TexSA 1 for a 1ST down
401013027104964302,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,3,56,43,3,12,13,Pass Reception,Charlie Brewer pass complete to Denzel Mims for 13 yds to the TexSA 30 for a 1ST down
401013027104959602,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,4,3,44,2,13,1,Pass Reception,Charlie Brewer pass complete to Jalen Hurd for 1 yd to the TexSA 43
401013027104959601,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,4,3,44,2,13,0,Timeout,"Timeout BAYLOR, clock 04:03"
401013027104917307,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,8,26,41,1,10,-3,Rush,JaMycal Hasty run for a loss of 3 yards to the TexSA 44
401013027104917305,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,8,26,65,2,10,-1,Sack,Charlie Brewer sacked by Andrew Martel for a loss of 1 yard to the Bayl 34
401013027104917304,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,8,26,65,1,10,0,Pass Incompletion,Charlie Brewer pass incomplete to Chris Platt
